iter	Logloss
0	0.6283020592
1	0.5694138014
2	0.5199327736
3	0.4786424107
4	0.4412717194
5	0.4096827687
6	0.382007134
7	0.3592778909
8	0.3373991466
9	0.3209921814
10	0.3033333944
11	0.2896916961
12	0.2789212206
13	0.2701288047
14	0.2626966097
15	0.2543038392
16	0.2491241315
17	0.2431818021
18	0.2392949303
19	0.2341698236
20	0.228059046
21	0.2251520083
22	0.2211198217
23	0.2181752234
24	0.2155431988
25	0.2124656389
26	0.2097536392
27	0.2067589656
28	0.2048654848
29	0.2030806336
30	0.2017581703
31	0.2000660754
32	0.1986520324
33	0.1967171283
34	0.1957810036
35	0.194747133
36	0.193988948
37	0.1928211413
38	0.1916556208
39	0.1910618521
40	0.1904703998
41	0.1898619725
42	0.1891574533
43	0.1884929263
44	0.1879576447
45	0.1874899152
46	0.1868284061
47	0.1862576088
48	0.1856523414
49	0.1851984753
50	0.1847770075
51	0.1843124182
52	0.1838862696
53	0.1833811495
54	0.1829801228
55	0.1822573269
56	0.1817974239
57	0.1814547679
58	0.181031684
59	0.1804802145
60	0.1799591174
61	0.179563325
62	0.1788751279
63	0.1785731528
64	0.1781577376
65	0.1778723541
66	0.1774819409
67	0.1769879107
68	0.1765474933
69	0.1762178421
70	0.1759408816
71	0.1756808266
72	0.1753421177
73	0.1750227017
74	0.1747255948
75	0.1744775121
76	0.1742781578
77	0.1736359995
78	0.1732228201
79	0.172906014
80	0.1724810537
81	0.1721787864
82	0.171847068
83	0.1715353285
84	0.1713496082
85	0.1710000192
86	0.1707085094
87	0.1703832052
88	0.1702524662
89	0.1699989592
90	0.1697606943
91	0.169456489
92	0.1692410777
93	0.1689828119
94	0.1687865968
95	0.1685867436
96	0.1682423742
97	0.1679145376
98	0.1676797312
99	0.1675038734
100	0.1672158308
101	0.16700177
102	0.1668419999
103	0.1666755765
104	0.1665066619
105	0.1662379398
106	0.1659828248
107	0.1657949735
108	0.1656040397
109	0.1654259092
110	0.1652745322
111	0.1651332982
112	0.1648692392
113	0.1646362566
114	0.1644274914
115	0.1642425245
116	0.1640508384
117	0.1639215697
118	0.1636933989
119	0.1634769946
120	0.1632932952
121	0.1630521063
122	0.1629122379
123	0.1627452118
124	0.1624260571
125	0.1622636898
126	0.1619457006
127	0.1616515415
128	0.161499743
129	0.1613775961
130	0.1611679741
131	0.1610265551
132	0.160902129
133	0.1607674608
134	0.1605493223
135	0.1603932093
136	0.1602286737
137	0.1600101079
138	0.1598467834
139	0.1596872358
140	0.1595298704
141	0.1594090491
142	0.1592412318
143	0.1590755858
144	0.15894515
145	0.1587131043
146	0.158532093
147	0.158424973
148	0.1582723525
149	0.1580958102
150	0.1579778782
151	0.1578421939
152	0.157670882
153	0.1575815276
154	0.1574132969
155	0.1572136944
156	0.1570501395
157	0.1568972345
158	0.1568231643
159	0.1566835201
160	0.1566055396
161	0.1564421886
162	0.1562893562
163	0.1561031522
164	0.1559614478
165	0.1558334808
166	0.1556846333
167	0.1555257618
168	0.155400191
169	0.155229587
170	0.1551195355
171	0.1549855027
172	0.1548486521
173	0.1546784834
174	0.1545924572
175	0.154458631
176	0.154290728
177	0.1541386254
178	0.1539876338
179	0.1538400911
180	0.153726229
181	0.1536290277
182	0.1535205699
183	0.1533566514
184	0.1533007512
185	0.1530919541
186	0.1529653247
187	0.1529064711
188	0.1528088773
189	0.152615407
190	0.152453107
191	0.152364733
192	0.1522799308
193	0.1520004075
194	0.1517830319
195	0.1516799874
196	0.1515734939
197	0.1514626592
198	0.1513082817
199	0.1512246423
200	0.1510981497
201	0.1509714114
202	0.150853322
203	0.1506198178
204	0.150499747
205	0.1504284114
206	0.1503278696
207	0.1501809154
208	0.1501005367
209	0.1499892973
210	0.1499390966
211	0.1498436917
212	0.1496941049
213	0.1495837913
214	0.1494636989
215	0.1493960014
216	0.1492930482
217	0.1491931455
218	0.1491253165
219	0.1490305661
220	0.1489256571
221	0.1487817401
222	0.1486760877
223	0.1485567657
224	0.1484498768
225	0.1483266222
226	0.1482541259
227	0.1481291014
228	0.1480489138
229	0.1479086936
230	0.1477984002
231	0.1477240656
232	0.1476520806
233	0.147498838
234	0.1473918115
235	0.1472530773
236	0.1471548358
237	0.1470787853
238	0.1469181826
239	0.1466935651
240	0.1465753729
241	0.1464939057
242	0.1462746657
243	0.1461343623
244	0.1460658996
245	0.1459479853
246	0.145876312
247	0.1457441377
248	0.1456613699
249	0.1455389026
250	0.1453997878
251	0.1453429228
252	0.1452793863
253	0.1451960968
254	0.1449779793
255	0.1449146014
256	0.1448356664
257	0.1447085839
258	0.1445888043
259	0.144497061
260	0.144386925
261	0.1442712722
262	0.1441875093
263	0.1440823041
264	0.1439914456
265	0.1438254256
266	0.1436798873
267	0.1435002117
268	0.1434371015
269	0.1432672466
270	0.1431469306
271	0.1430582578
272	0.1429972617
273	0.1428242902
274	0.1426366429
275	0.1425552652
276	0.1424560467
277	0.1423971482
278	0.142289466
279	0.1421375843
280	0.1420191478
281	0.1418448297
282	0.1417511073
283	0.1416382803
284	0.1415468928
285	0.1414657199
286	0.1413826214
287	0.1412289555
288	0.1411293886
289	0.140990659
290	0.1408737809
291	0.1407131048
292	0.1406164248
293	0.1405573499
294	0.1404927882
295	0.1404296644
296	0.1403217044
297	0.1401671935
298	0.1400781151
299	0.1400095483
