iter	Passed	Remaining
0	19	5952
1	38	5804
2	56	5619
3	77	5747
4	96	5716
5	115	5675
6	134	5617
7	153	5587
8	175	5662
9	193	5615
10	212	5576
11	231	5562
12	247	5467
13	268	5490
14	286	5444
15	307	5452
16	330	5509
17	346	5432
18	366	5422
19	386	5415
20	407	5418
21	427	5403
22	444	5356
23	467	5374
24	485	5341
25	506	5337
26	527	5336
27	549	5334
28	586	5477
29	610	5495
30	635	5518
31	666	5581
32	692	5601
33	718	5623
34	740	5608
35	767	5624
36	793	5637
37	817	5639
38	842	5640
39	864	5618
40	897	5667
41	929	5708
42	955	5709
43	1022	5947
44	1078	6109
45	1118	6178
46	1141	6144
47	1163	6107
48	1186	6079
49	1211	6056
50	1235	6031
51	1263	6025
52	1289	6010
53	1313	5981
54	1335	5948
55	1359	5923
56	1382	5892
57	1408	5877
58	1431	5846
59	1456	5825
60	1478	5794
61	1503	5772
62	1526	5742
63	1552	5724
64	1576	5700
65	1600	5675
66	1623	5645
67	1647	5622
68	1671	5596
69	1695	5570
70	1717	5538
71	1741	5514
72	1764	5486
73	1785	5454
74	1808	5425
75	1829	5391
76	1889	5472
77	1940	5523
78	1961	5486
79	1985	5461
80	2008	5430
81	2032	5404
82	2055	5372
83	2075	5335
84	2097	5305
85	2120	5275
86	2146	5255
87	2169	5226
88	2190	5192
89	2215	5168
90	2239	5142
91	2260	5110
92	2285	5087
93	2304	5049
94	2323	5013
95	2340	4974
96	2363	4945
97	2382	4910
98	2400	4873
99	2422	4845
100	2440	4809
101	2460	4776
102	2479	4743
103	2499	4710
104	2517	4676
105	2535	4640
106	2559	4616
107	2578	4584
108	2596	4550
109	2616	4519
110	2636	4488
111	2657	4460
112	2676	4428
113	2694	4395
114	2715	4368
115	2736	4340
116	2763	4322
117	2782	4291
118	2804	4265
119	2827	4241
120	2848	4214
121	2869	4186
122	2890	4159
123	2908	4127
124	2928	4100
125	2948	4071
126	2968	4043
127	2989	4017
128	3013	3995
129	3036	3971
130	3060	3948
131	3084	3925
132	3108	3903
133	3131	3879
134	3151	3851
135	3170	3822
136	3190	3795
137	3209	3767
138	3227	3738
139	3250	3714
140	3268	3685
141	3288	3659
142	3306	3629
143	3329	3606
144	3349	3579
145	3368	3552
146	3386	3525
147	3404	3496
148	3424	3470
149	3444	3444
150	3464	3418
151	3482	3391
152	3500	3363
153	3518	3336
154	3539	3310
155	3559	3285
156	3581	3261
157	3601	3236
158	3617	3207
159	3632	3178
160	3653	3154
161	3672	3128
162	3692	3103
163	3711	3077
164	3730	3051
165	3751	3028
166	3769	3001
167	3790	2977
168	3805	2950
169	3828	2927
170	3854	2907
171	3881	2888
172	3902	2865
173	3931	2846
174	3957	2826
175	3979	2804
176	4006	2783
177	4029	2761
178	4053	2740
179	4076	2717
180	4097	2693
181	4119	2671
182	4144	2649
183	4167	2627
184	4189	2604
185	4213	2582
186	4238	2561
187	4316	2571
188	4362	2561
189	4386	2539
190	4409	2516
191	4430	2492
192	4456	2470
193	4479	2447
194	4500	2423
195	4519	2398
196	4536	2371
197	4552	2345
198	4575	2322
199	4594	2297
200	4610	2270
201	4630	2246
202	4650	2221
203	4669	2197
204	4690	2173
205	4711	2150
206	4731	2125
207	4746	2099
208	4766	2075
209	4784	2050
210	4807	2027
211	4825	2003
212	4844	1978
213	4865	1955
214	4884	1931
215	4909	1909
216	4927	1884
217	4946	1860
218	4965	1836
219	4983	1812
220	5000	1787
221	5018	1763
222	5040	1740
223	5057	1715
224	5078	1692
225	5098	1669
226	5114	1644
227	5136	1622
228	5155	1598
229	5174	1574
230	5190	1550
231	5207	1526
232	5230	1504
233	5246	1479
234	5266	1456
235	5286	1433
236	5306	1410
237	5326	1387
238	5342	1363
239	5374	1343
240	5391	1319
241	5410	1296
242	5429	1273
243	5450	1250
244	5471	1228
245	5490	1205
246	5521	1184
247	5540	1161
248	5559	1138
249	5579	1115
250	5599	1093
251	5616	1069
252	5634	1046
253	5654	1024
254	5675	1001
255	5692	978
256	5712	955
257	5737	934
258	5758	911
259	5778	888
260	5799	866
261	5821	844
262	5840	821
263	5863	799
264	5881	776
265	5904	754
266	5923	732
267	5943	709
268	5961	687
269	5979	664
270	6001	642
271	6022	619
272	6041	597
273	6060	575
274	6079	552
275	6102	530
276	6123	508
277	6143	486
278	6164	464
279	6183	441
280	6204	419
281	6230	397
282	6250	375
283	6269	353
284	6287	330
285	6309	308
286	6329	286
287	6346	264
288	6368	242
289	6387	220
290	6407	198
291	6427	176
292	6446	154
293	6465	131
294	6484	109
295	6503	87
296	6521	65
297	6542	43
298	6623	22
299	6643	0
