column_name,data_type,null_count,null_percent,distinct_count,sample_values,is_candidate_key,minimum,maximum,mean,comments
EmrId,int64,0,0.0,2660731,"[""1"", ""2"", ""3"", ""4"", ""5""]",True,1,2954499,1548920.710553,
EmrEquipmentType,int64,0,0.0,526,"[""12"", ""45"", ""93"", ""95"", ""100""]",False,1,812,266.594072,
EmrSerialNo,str,1,0.0,2059964,"[""A2976"", ""EGHS440017"", ""IPC258"", ""12418"", ""200781""]",False,,,,
EmrEquipmentMake,float64,10501,0.3947,815,"[""106.0"", ""64.0"", ""187.0"", ""25.0"", ""39.0""]",False,1.0,2026.0,380.797213,
EmrDoR,datetime64[us],256374,9.6355,13039,"[""2006-05-31T00:00:00"", ""2011-05-27T00:00:00"", ""2005-11-17T00:00:00"", ""2018-06-06T00:00:00"", ""2012-01-14T00:00:00""]",False,1899-12-30T00:00:00,2922-05-29T00:00:00,,
EmrDoM,datetime64[us],416,0.0156,11884,"[""2006-05-31T00:00:00"", ""2011-05-27T00:00:00"", ""2005-11-17T00:00:00"", ""2001-07-17T00:00:00"", ""2012-01-14T00:00:00""]",False,1887-11-01T00:00:00,4334-09-01T00:00:00,,
EmrDoC,datetime64[us],0,0.0,12523,"[""2006-05-31T00:00:00"", ""2011-05-27T00:00:00"", ""2005-11-17T00:00:00"", ""2018-06-07T00:00:00"", ""2012-01-14T00:00:00""]",False,1889-06-01T00:00:00,5018-04-05T00:00:00,,
EmrAssemblyStatus,int64,0,0.0,2,"[""1"", ""0""]",False,0,1,0.995551,
EmrParentEquipment,float64,2499221,93.9299,54936,"[""207.0"", ""4894.0"", ""4756.0"", ""4662.0"", ""4087.0""]",False,207.0,2954456.0,1244542.083469,
EmrEquipmentStatus,int64,0,0.0,9,"[""3"", ""2"", ""1"", ""5"", ""6""]",False,1,11,2.324429,
EmrWarrantyOn,datetime64[us],166563,6.26,6761,"[""1900-01-01T00:00:00"", ""2022-05-28T00:00:00"", ""2014-04-01T00:00:00"", ""2014-04-09T00:00:00"", ""2019-04-07T00:00:00""]",False,1900-01-01T00:00:00,3230-03-29T00:00:00,,
EmrCondemnProposedOn,datetime64[us],2139295,80.4025,2233,"[""1900-01-01T00:00:00"", ""2017-09-25T00:00:00"", ""2018-04-03T00:00:00"", ""2024-11-21T00:00:00"", ""2021-09-10T00:00:00""]",False,1900-01-01T00:00:00,2028-07-30T00:00:00,,
EmrCondemnedOn,datetime64[us],2139295,80.4025,1893,"[""1900-01-01T00:00:00"", ""2018-05-23T00:00:00"", ""2019-07-01T00:00:00"", ""2025-10-15T00:00:00"", ""2021-05-13T00:00:00""]",False,1900-01-01T00:00:00,2026-12-31T00:00:00,,
EmrRemarks,str,549818,20.6642,65264,"[""--"", ""NEW RECEIVED SMM STORE 31.12.18"", ""RECEIVED WITH LOCO 27313 AFTER POH/KPA"", ""RECD WITH LOCO AFTER POH/KPA 23067 ON 08.05.17"", """"]",False,,,,
EmrLastOverhaulingOn,datetime64[us],1547502,58.1608,128883,"[""2015-09-18T09:11:00"", ""2019-02-07T11:03:00"", ""1900-01-01T00:00:00"", ""2017-05-09T06:56:00"", ""2019-02-25T15:02:00""]",False,1814-01-01T00:00:00,5813-01-01T00:00:00,,
EmrDoT,object,2660731,100.0,0,[],False,,,,
EmrPOHTrasferOn,datetime64[us],2645594,99.4311,709,"[""2024-09-07T00:00:00"", ""2014-09-01T00:00:00"", ""2026-03-10T00:00:00"", ""2023-09-12T00:00:00"", ""2025-03-22T00:00:00""]",False,2002-07-09T00:00:00,2026-07-15T00:00:00,,
EmrStoreFunctionalLocation,float64,48870,1.8367,793,"[""1.0"", ""2151.0"", ""2192.0"", ""134.0"", ""2361.0""]",False,1.0,3071.0,1121.458972,
EmrUserParam1,str,988375,37.1467,55,"["""", ""--"", ""M5HR"", ""O/H"", ""O/H DONE""]",False,,,,
EmrUserParam2,str,988375,37.1467,77,"["""", ""--"", ""O/H"", ""O/H DONE"", ""FOR O/H""]",False,,,,
EmrPurchaseOrder,object,2660731,100.0,0,[],False,,,,
EmrCreatedOn,datetime64[us],1176,0.0442,2346260,"[""2014-01-25T23:12:08.677000"", ""2014-01-25T23:12:08.690000"", ""2014-01-25T23:12:08.693000"", ""2014-01-25T23:12:08.697000"", ""2014-01-25T23:12:08.700000""]",False,2014-01-25T23:12:08.677000,2026-07-24T17:01:13.970000,,
EmrCreatedBy,float64,731503,27.4926,1893,"[""13.0"", ""75.0"", ""11.0"", ""15.0"", ""53.0""]",False,1.0,11118.0,4064.484784,
EmrModifiedOn,datetime64[us],2567320,96.4893,91026,"[""2024-08-24T11:12:25.067000"", ""2023-10-21T16:28:00.550000"", ""2024-08-10T12:21:09.110000"", ""2024-08-10T12:21:33.827000"", ""2024-08-10T12:22:01.390000""]",False,2014-03-27T15:39:20.637000,2026-07-24T16:05:39.640000,,
EmrModifiedBy,float64,2569714,96.5792,758,"[""4860.0"", ""2743.0"", ""6782.0"", ""4877.0"", ""8057.0""]",False,1.0,10945.0,3977.934639,
EmrChildEqMasterRegister,str,2597728,97.6321,47656,"[""4887"", """", ""111447"", ""4642"", ""4081""]",False,,,,
EmrEqtAssoId,float64,304844,11.4572,640,"[""12.0"", ""45.0"", ""93.0"", ""95.0"", ""100.0""]",False,1.0,1084.0,296.994648,
