column_name,data_type,null_count,null_percent,distinct_count,sample_values,is_candidate_key,minimum,maximum,mean,comments
LotId,int64,0,0.0,60,"[""1"", ""2"", ""3"", ""4"", ""5""]",True,1,61,31.183333,
LotTypeName,str,0,0.0,60,"[""WAG5"", ""WAG5T"", ""WAG5H"", ""WAG7"", ""WAG9""]",True,,,,
LotModel,str,0,0.0,38,"[""WAG5"", ""WAG5T"", ""WAG5H"", ""WAG7"", ""WAG9""]",False,,,,
LotKind,int64,0,0.0,2,"[""1"", ""2""]",False,1,2,1.333333,
LotMaxSpead,str,0,0.0,11,"[""100"", ""80"", ""110"", ""140"", ""160""]",False,,,,
LotEnginePower,int64,0,0.0,24,"[""3850"", ""5000"", ""6120"", ""3640"", ""5440""]",False,290,12000,3997.0,
LotGearRatio,int64,0,0.0,16,"[""5"", ""6"", ""12"", ""4"", ""3""]",False,2,19,9.783333,
LotWeight,str,0,0.0,19,"[""118.8"", ""123"", ""112.8"", ""78"", ""108.3""]",False,,,,
LotLength,str,0,0.0,17,"[""18.1"", ""19"", ""19.0"", ""20.562"", ""20.56""]",False,,,,
LotBreakSysType,int64,0,0.0,4,"[""1"", ""3"", ""4"", ""2""]",False,1,4,1.966667,
LotSpeedoMeterType,int64,0,0.0,3,"[""2"", ""1"", ""3""]",False,1,3,1.816667,
LotEngineMaxRPM,float64,20,33.3333,7,"[""1000.0"", ""0.0"", ""1050.0"", ""1100.0"", ""904.0""]",False,0.0,1234.0,971.2,
LotEngineIdleRPM,float64,20,33.3333,7,"[""1000.0"", ""0.0"", ""400.0"", ""390.0"", ""269.0""]",False,0.0,1234.0,397.85,
LotRegeneration,float64,13,21.6667,2,"[""2.0"", ""1.0""]",False,1.0,2.0,1.595745,
LotBogieType,int64,0,0.0,4,"[""2"", ""1"", ""4"", ""5""]",False,1,5,2.033333,
LotStartTracEffort,float64,0,0.0,26,"[""34.0"", ""33.0"", ""44.0"", ""47.0"", ""30.0""]",False,9.0,104.0,36.95,
LotConsTracEffort,float64,0,0.0,22,"[""27.0"", ""21.0"", ""33.0"", ""18.0"", ""19.0""]",False,14.0,66.0,27.05,
LotCreatedOn,datetime64[us],0,0.0,45,"[""2013-12-26T14:18:18.063000"", ""2013-12-26T14:22:50.867000"", ""2013-12-26T14:30:48.973000"", ""2013-12-26T14:33:45.670000"", ""2013-12-26T14:35:17.727000""]",False,2013-12-26T14:18:18.063000,2026-04-20T15:04:31.453000,,
LotLastModifiedOn,datetime64[us],24,40.0,36,"[""2024-04-29T17:46:23.950000"", ""2024-04-30T09:44:41.860000"", ""2024-04-29T17:53:38.020000"", ""2024-04-30T09:50:03.540000"", ""2024-04-30T09:55:53.923000""]",False,2014-07-12T13:18:39.237000,2025-10-17T15:29:57.920000,,
LotNumberOfAxels,int64,0,0.0,4,"[""6"", ""4"", ""8"", ""12""]",False,4,12,6.033333,
LotAxelLoad,float64,0,0.0,15,"[""19.8"", ""20.5"", ""18.8"", ""19.5"", ""18.05""]",False,7.5,23.0,18.755583,
LotSuspensions,float64,13,21.6667,2,"[""1.0"", ""2.0""]",False,1.0,2.0,1.489362,
LotWheelDiaNew,int64,0,0.0,4,"[""1092"", ""1250"", ""1096"", ""965""]",False,965,1250,1073.533333,
LotWheelDiaWearOut,int64,0,0.0,4,"[""1016"", ""1092"", ""1164"", ""950""]",False,950,1164,1008.733333,
LotTrackGauge,int64,0,0.0,4,"[""1676"", ""1000"", ""610"", ""762""]",False,610,1676,1517.5,
LotDBRType,float64,11,18.3333,3,"[""0.0"", ""1.0"", ""2.0""]",False,0.0,2.0,0.918367,
LotRSI,float64,11,18.3333,3,"[""2.0"", ""1.0"", ""0.0""]",False,0.0,2.0,0.877551,
LotCompressorLocation,float64,12,20.0,2,"[""0.0"", ""1.0""]",False,0.0,1.0,0.166667,
LotVCBDJ,float64,13,21.6667,1,"[""0.0""]",False,0.0,0.0,0.0,
LotSchFlag,int64,0,0.0,2,"[""0"", ""1""]",False,0,1,0.166667,
LotTraction,str,0,0.0,2,"[""E "", ""D ""]",False,,,,
LotServiceType,str,0,0.0,4,"[""F "", ""C "", ""B "", ""S ""]",False,,,,
LotTMtype,str,21,35.0,14,"[""\tTAO-659 Touchi\t"", ""\tHS15250A\t"", ""\tHS 15250A\t"", ""\t6FRA 6068\t"", ""\t6FXA-7059\t""]",False,,,,
LotMaxRegBrakingEffort,str,55,91.6667,5,"[""260"", ""160"", ""182"", "">490KN from 10 to 65 kmph for 200t mass (25% of the gross weight)"", ""520""]",False,,,,
