column_name,data_type,null_count,null_percent,distinct_count,sample_values,is_candidate_key,minimum,maximum,mean,comments
SejId,int64,0,0.0,4431168,"[""1012"", ""1013"", ""1014"", ""1015"", ""1016""]",True,1012,4547951,2300320.087775,
SejJobCardMovementId,float64,10970,0.2476,416961,"[""1038.0"", ""1039.0"", ""1033.0"", ""1058.0"", ""1057.0""]",False,1033.0,1408628.0,594270.869243,
SejLocoId,float64,1468,0.0331,14621,"[""177.0"", ""178.0"", ""190.0"", ""43.0"", ""13.0""]",False,1.0,24513.0,6688.729358,
SejSectionId,float64,1,0.0,1120,"[""26.0"", ""12.0"", ""28.0"", ""10.0"", ""13.0""]",False,3.0,4036.0,780.744711,
SejStatusId,int64,0,0.0,11,"[""1"", ""8"", ""11"", ""12"", ""3""]",False,1,12,10.070752,
SejJobcardNo,str,0,0.0,99564,"[""001"", ""002"", ""003"", ""004"", ""005""]",False,,,,
SejCreatedBy,int64,0,0.0,1009,"[""362"", ""155"", ""501"", ""598"", ""615""]",False,1,68588,19931.219017,
SejIssuedBy,float64,24218,0.5465,981,"[""14.0"", ""64.0"", ""33.0"", ""34.0"", ""65.0""]",False,1.0,11099.0,2940.541998,
SejCreatedOn,datetime64[us],0,0.0,2741907,"[""2014-02-04T10:46:02.133000"", ""2014-02-04T10:52:33.040000"", ""2014-02-04T10:52:33.057000"", ""2014-02-04T10:52:33.100000"", ""2014-02-04T10:52:33.110000""]",False,2002-01-02T00:15:25,2026-07-24T17:07:13.270000,,
SejIssuedOn,datetime64[us],24209,0.5463,3735746,"[""2014-02-04T10:57:45.557000"", ""2014-02-04T10:57:45.560000"", ""2014-02-04T11:08:56.520000"", ""2014-02-04T11:08:56.523000"", ""2014-02-04T11:19:35.737000""]",False,2002-01-02T00:15:25,2026-07-24T17:07:49.513000,,
SejRemarks,str,0,0.0,444633,"["""", ""ULTRASONIC TEST OF AXLE CARRIED OUT ON 06.02.2014"", ""PARKING BRAKE WHEEL NO.11 MADE DUMMY"", ""ALL PANTO FOOT INSULATOR CLEANED & SPRAY DONE"", ""VCD TESTING TO BE DONE BY PPIO""]",False,,,,
SejReturnedOn,datetime64[us],112479,2.5384,1920895,"[""2014-02-04T15:40:00"", ""2014-02-04T11:29:00"", ""2014-02-04T11:54:00"", ""2014-02-04T11:09:00"", ""2014-02-04T16:21:00""]",False,1900-01-01T00:00:00,2824-02-13T12:37:00,,
SejReturnedBy,float64,435130,9.8198,14658,"[""362.0"", ""155.0"", ""121.0"", ""15.0"", ""956.0""]",False,-1.0,68616.0,19228.3752,
SejSent,bool,0,0.0,2,"[""True"", ""False""]",False,False,True,,
SejAcknowledge,int64,0,0.0,2,"[""1"", ""0""]",False,0,1,0.974552,
SejTestedBy1,str,0,0.0,6660,"[""0"", ""381"", ""733"", ""344"", ""434""]",False,,,,
SejTestedBy2,str,0,0.0,4658,"[""0"", ""400"", ""652"", ""611"", ""383""]",False,,,,
Sejverify,int64,0,0.0,2,"[""1"", ""0""]",False,0,1,0.950067,
SejPrintCount,float64,3833100,86.5032,46,"[""2.0"", ""1.0"", ""6.0"", ""3.0"", ""5.0""]",False,1.0,66.0,1.50461,
SejPrintDate,datetime64[us],3833100,86.5032,595246,"[""2014-02-06T12:47:14.970000"", ""2014-02-06T12:47:14.990000"", ""2014-02-06T12:47:15.020000"", ""2014-02-06T12:47:15.037000"", ""2014-02-06T12:47:15.060000""]",False,2014-02-06T12:47:14.970000,2026-07-24T17:06:52.100000,,
SejVerifiedOn,datetime64[us],4384189,98.9398,46979,"[""2014-02-07T09:09:05.223000"", ""2014-02-07T08:58:49.883000"", ""2014-02-06T08:04:37.500000"", ""2014-02-06T08:03:07.633000"", ""2014-02-06T08:02:49.453000""]",False,2014-02-06T08:01:29.383000,2025-08-12T10:34:10.343000,,
SejDelete,float64,314304,7.093,1,"[""0.0""]",False,0.0,0.0,0.0,
SejLastModifiedOn,datetime64[us],4422809,99.8114,1373,"[""2016-03-12T14:20:55.290000"", ""2016-07-28T09:25:02.483000"", ""2016-08-27T11:19:32.457000"", ""2016-10-12T10:51:02.967000"", ""2016-11-03T16:43:16.110000""]",False,2016-03-12T14:20:55.290000,2026-07-24T12:32:52.120000,,
SejJobCardType,int64,0,0.0,11,"[""2"", ""4"", ""1"", ""3"", ""9""]",False,1,11,2.181976,
SejVerifiedBy,float64,4384480,98.9464,21,"[""362.0"", ""581.0"", ""501.0"", ""155.0"", ""598.0""]",False,44.0,2733.0,876.873715,
SejTargetDate,datetime64[us],490448,11.0681,435365,"[""1900-01-01T00:00:00"", ""2015-12-17T15:19:00"", ""2015-12-25T10:14:00"", ""2015-12-24T05:09:00"", ""2015-12-18T13:44:00""]",False,1900-01-01T00:00:00,2923-06-17T20:30:00,,
