column_name,data_type,null_count,null_percent,distinct_count,sample_values,is_candidate_key,minimum,maximum,mean,comments
wsmId,int64,0,0.0,1165641,"[""1"", ""2"", ""3"", ""4"", ""5""]",True,1,1259251,648259.183098,
wsmEquipmentId,float64,24359,2.0898,109694,"[""30114.0"", ""30115.0"", ""30116.0"", ""30117.0"", ""29909.0""]",False,248.0,2954158.0,992240.575089,
wsmStatus,float64,3090,0.2651,9,"[""2.0"", ""1.0"", ""3.0"", ""4.0"", ""9.0""]",False,1.0,11.0,2.035007,
wsmFlange1,float64,3079,0.2641,419,"[""0.0"", ""1.5"", ""0.5"", ""1.0"", ""2.0""]",False,-6.0,1596.0,1.032004,
wsmDia1,float64,3085,0.2647,8251,"[""1088.0"", ""1087.0"", ""1086.0"", ""1085.0"", ""1059.0""]",False,0.0,1020352.0,1059.705129,
wsmRoot1,float64,3140,0.2694,682,"[""0.0"", ""0.5"", ""1.0"", ""2.0"", ""1.5""]",False,-0.5,41595.0,1.640831,
wsmFlange2,float64,3079,0.2641,436,"[""1.5"", ""0.0"", ""1.0"", ""0.5"", ""3.5""]",False,-6.0,1084.0,1.035073,
wsmDia2,float64,3084,0.2646,8225,"[""1086.0"", ""1087.0"", ""1058.0"", ""1059.0"", ""1057.0""]",False,0.0,107098.0,1058.11512,
wsmRoot2,float64,3128,0.2684,679,"[""2.5"", ""0.0"", ""1.0"", ""1.5"", ""3.0""]",False,-0.5,11595.0,1.620357,
wsmSkidTurn1,str,16132,1.384,7,"[""0"", ""--"", """", ""1"", ""0.""]",False,,,,
wsmSkidTurn2,str,19320,1.6575,7,"[""0"", ""--"", """", ""1"", ""00""]",False,,,,
wsmWear,float64,22759,1.9525,18867,"[""0.0"", ""12.0"", ""11.0"", ""6.0"", ""7.0""]",False,-1019325.5,1019333.6,-5.695074,
wsmWearRate,float64,107219,9.1983,4035,"[""0.0"", ""6.0"", ""3.0"", ""4.0"", ""5.0""]",False,-1019326.0,11853.0,-0.604092,
wsmWRId,float64,12051,1.0339,197084,"[""1.0"", ""2.0"", ""3.0"", ""9.0"", ""10.0""]",False,1.0,238722.0,131110.397885,
wsmRSID,float64,1109424,95.1772,56174,"[""273622.0"", ""142690.0"", ""142724.0"", ""17354.0"", ""17356.0""]",False,503.0,1192591.0,702036.707277,
wsmUpdatedOn,datetime64[us],0,0.0,45695,"[""2014-10-28T00:00:00"", ""2014-10-29T00:00:00"", ""2014-10-30T00:00:00"", ""2014-10-31T00:00:00"", ""2014-11-04T00:00:00""]",False,2004-02-14T00:00:00,2026-07-24T15:59:10.510000,,
wsmW1EndType,float64,15543,1.3334,2,"[""1.0"", ""2.0""]",False,1.0,2.0,1.448226,
wsmWheelSetPosition,float64,15130,1.298,6,"[""1.0"", ""2.0"", ""3.0"", ""4.0"", ""5.0""]",False,1.0,6.0,3.481422,
WsmPosition,str,626435,53.7417,56,"[""1"", ""2"", ""3"", ""4"", ""5""]",False,,,,
wsmWear2,float64,22759,1.9525,18728,"[""0.0"", ""12.0"", ""11.0"", ""10.0"", ""6.0""]",False,-106023.59,106057.49,-5.58369,
wsmWearRate2,float64,107219,9.1983,4010,"[""0.0"", ""6.0"", ""5.0"", ""3.0"", ""7.0""]",False,-106024.0,9679.0,0.130761,
wsmWheelGauge1,float64,4158,0.3567,668,"[""0.0"", ""1596.0"", ""1595.5"", ""1597.0"", ""1596.5""]",False,0.0,1569615.0,1550.414676,
wsmWheelGauge2,float64,5178,0.4442,667,"[""1596.0"", ""1595.5"", ""1597.0"", ""1596.5"", ""0.0""]",False,0.0,1569615.0,1549.076345,
wsmturning1,float64,23775,2.0397,2,"[""0.0"", ""1.0""]",False,0.0,1.0,0.040199,
wsmturning2,float64,31044,2.6633,2,"[""0.0"", ""1.0""]",False,0.0,1.0,0.040612,
wsmChangeId,float64,12044,1.0333,1,"[""0.0""]",False,0.0,0.0,0.0,
WsmFlWearRate1,float64,139919,12.0036,9874,"[""0.0"", ""0.25"", ""0.5"", ""-0.01041"", ""-0.02083""]",False,-1034.93,1082.26999,-0.255951,
WsmFlWearRate2,float64,139920,12.0037,9920,"[""0.0"", ""1.25"", ""1.0"", ""0.25"", ""0.01041""]",False,-1061.19,1023.0,-0.258882,
