stratum,feature,value,worst_n,worst_fraction,full_test_fraction,enrichment
home shed,home_shed,<NA>,0,0.27,0.2739,0.99
home shed,home_shed,WATE ,10,0.1,0.1076,0.93
home shed,home_shed,KYNE ,8,0.08,0.0298,2.69
home shed,home_shed,BGKD,7,0.07,0.0208,3.36
home shed,home_shed,RPME,7,0.07,0.0119,5.9
home shed,home_shed,IZNE,7,0.07,0.0065,10.79
home shed,home_shed,EDE,6,0.06,0.0359,1.67
home shed,home_shed,BNDL,5,0.05,0.0206,2.42
home shed,home_shed,PADX,4,0.04,0.0163,2.46
home shed,home_shed,GZBE ,3,0.03,0.0491,0.61
home shed,home_shed,GMOE ,3,0.03,0.0222,1.35
home shed,home_shed,KJMD,3,0.03,0.0319,0.94
home shed,home_shed,LGDE,2,0.02,0.035,0.57
home shed,home_shed,ETE,2,0.02,0.0094,2.13
home shed,home_shed,TATE,1,0.01,0.0267,0.38
home shed,home_shed,BZAE,1,0.01,0.0467,0.21
home shed,home_shed,BLEE,1,0.01,0.0215,0.46
home shed,home_shed,HWHE ,1,0.01,0.0414,0.24
home shed,home_shed,AQE  ,1,0.01,0.0605,0.17
home shed,home_shed,SPJD ,1,0.01,0.0099,1.01
wheel profile,wheel_profile_2class,1.0,75,0.75,0.82,0.91
wheel profile,wheel_profile_2class,0.0,25,0.25,0.1733,1.44
interval length (days),interval_days_bucket,interval Q5,33,0.33,0.2,1.65
interval length (days),interval_days_bucket,interval Q3,22,0.22,0.2,1.1
interval length (days),interval_days_bucket,interval Q4,17,0.17,0.2,0.85
interval length (days),interval_days_bucket,interval Q1,15,0.15,0.2,0.75
interval length (days),interval_days_bucket,interval Q2,13,0.13,0.2,0.65
turning event this interval,turning_indicator_raw,0,100,1.0,0.9891,1.01
RTIS reporting coverage %,rtis_coverage_bucket,coverage Q2,27,0.27,0.2,1.35
RTIS reporting coverage %,rtis_coverage_bucket,coverage Q4,21,0.21,0.2,1.05
RTIS reporting coverage %,rtis_coverage_bucket,coverage Q1,21,0.21,0.2,1.05
RTIS reporting coverage %,rtis_coverage_bucket,coverage Q3,17,0.17,0.2,0.85
RTIS reporting coverage %,rtis_coverage_bucket,coverage Q5,14,0.14,0.2,0.7
"interval wear, side 1 (mm)",wear_side1_bucket,wear1 Q2,30,0.3,0.2,1.5
"interval wear, side 1 (mm)",wear_side1_bucket,wear1 Q4,25,0.25,0.2,1.25
"interval wear, side 1 (mm)",wear_side1_bucket,wear1 Q1,17,0.17,0.2,0.85
"interval wear, side 1 (mm)",wear_side1_bucket,wear1 Q3,14,0.14,0.2,0.7
"interval wear, side 1 (mm)",wear_side1_bucket,wear1 Q5,14,0.14,0.2,0.7
"interval wear, side 2 (mm)",wear_side2_bucket,wear2 Q2,30,0.3,0.2,1.5
"interval wear, side 2 (mm)",wear_side2_bucket,wear2 Q4,25,0.25,0.2,1.25
"interval wear, side 2 (mm)",wear_side2_bucket,wear2 Q1,17,0.17,0.2,0.85
"interval wear, side 2 (mm)",wear_side2_bucket,wear2 Q3,15,0.15,0.2,0.75
"interval wear, side 2 (mm)",wear_side2_bucket,wear2 Q5,13,0.13,0.2,0.65
