experiment,task,label,model,train_condition,split,rmse,mae,mape,r2,spearman,n
experiment_0006,regression,next_interval_dia_delta_mm,dummy_mean,v1_1_train,test,23.6302,18.7024,,-0.2366,,28065
experiment_0001,regression,next_interval_dia_delta_mm,dummy_mean,v1_1_train,val,23.9803,18.4557,,-0.0739,,29734
experiment_0008,regression,next_interval_dia_delta_mm,elastic_net,v1_1_train,test,14.9596,11.9763,,0.5044,0.6249335990191665,28065
experiment_0003,regression,next_interval_dia_delta_mm,elastic_net,v1_1_train,val,16.6181,13.3578,,0.4843,0.6542568681378883,29734
experiment_0009,regression,next_interval_dia_delta_mm,hist_gradient_boosting,v1_1_train,test,15.2005,11.658,,0.4883,0.6362177503061934,28065
experiment_0004,regression,next_interval_dia_delta_mm,hist_gradient_boosting,v1_1_train,val,17.7551,13.1356,,0.4113,0.6629738788921101,29734
experiment_0007,regression,next_interval_dia_delta_mm,linear,v1_1_train,test,15.0942,11.968,,0.4954,0.6244805824509085,28065
experiment_0002,regression,next_interval_dia_delta_mm,linear,v1_1_train,val,16.793,13.3389,,0.4733,0.652591598297514,29734
experiment_0010,regression,next_interval_dia_delta_mm,random_forest,v1_1_train,test,14.7036,11.3787,,0.5212,0.6424494917770246,28065
experiment_0005,regression,next_interval_dia_delta_mm,random_forest,v1_1_train,val,17.2366,12.956,,0.4452,0.6673118224317419,29734
experiment_0016,regression,next_interval_dia_delta_mm,dummy_mean,v1_2_train,test,23.604,18.6739,,-0.2339,,28065
experiment_0011,regression,next_interval_dia_delta_mm,dummy_mean,v1_2_train,val,23.9646,18.4416,,-0.0725,,29734
experiment_0018,regression,next_interval_dia_delta_mm,elastic_net,v1_2_train,test,14.9523,12.016,,0.5049,0.6257323651350746,28065
experiment_0013,regression,next_interval_dia_delta_mm,elastic_net,v1_2_train,val,16.5855,13.369,,0.4863,0.654658624051714,29734
experiment_0019,regression,next_interval_dia_delta_mm,hist_gradient_boosting,v1_2_train,test,14.5656,11.3973,,0.5301,0.6462777776906463,28065
experiment_0014,regression,next_interval_dia_delta_mm,hist_gradient_boosting,v1_2_train,val,16.2273,12.8033,,0.5082,0.671496036679788,29734
experiment_0017,regression,next_interval_dia_delta_mm,linear,v1_2_train,test,14.9273,11.959,,0.5065,0.6271204786397321,28065
experiment_0012,regression,next_interval_dia_delta_mm,linear,v1_2_train,val,16.573,13.3171,,0.4871,0.6552617933186656,29734
experiment_0020,regression,next_interval_dia_delta_mm,random_forest,v1_2_train,test,14.5692,11.3173,,0.5299,0.6450004212363892,28065
experiment_0015,regression,next_interval_dia_delta_mm,random_forest,v1_2_train,val,16.2753,12.8277,,0.5053,0.6692924406877567,29734
