stratum,level,n,rmse,mae,sign_err
home shed,AQE  ,1697,13.975035078912422,10.839471229667735,0.578078962875663
home shed,BGKD,584,14.342427431834444,10.965033283743885,0.5205479452054794
home shed,BIAE,415,13.099993664129137,10.13452225158299,0.5060240963855421
home shed,BLEE,604,13.620244091075872,10.64380593954037,0.6225165562913907
home shed,BNDL,579,14.563685566677725,11.277793481069901,0.6062176165803109
home shed,BRCE,567,14.690628946931481,11.39721413049802,0.6208112874779541
home shed,BZAE,1310,14.677397461284073,11.38227984934468,0.5312977099236641
home shed,CNBE,271,11.69000736920553,9.125623679061821,0.6236162361623616
home shed,EDE,1008,14.395843255646588,11.19246922383785,0.5446428571428571
home shed,ETE,263,17.30019491559233,13.386957881435533,0.6197718631178707
home shed,GDDE,44,14.812045082787803,11.819344844634815,0.5
home shed,GMOE ,623,13.136202052581977,9.96654864518449,0.5922953451043339
home shed,GZBE ,1379,13.712892261942708,10.660713366130754,0.5736040609137056
home shed,HWHE ,1162,13.68731219264155,10.433198773993078,0.5559380378657487
home shed,IZNE,182,13.542491175040695,10.869104622475781,0.5989010989010989
home shed,KJMD,895,14.13448441412318,11.02264504348264,0.6
home shed,KYNE ,835,15.16570960069441,11.391912616316143,0.4754491017964072
home shed,LDHE ,656,14.495240117697263,11.532819267195054,0.510670731707317
home shed,LGDE,983,13.763725036207651,10.583851085403031,0.5635808748728383
home shed,NGCD,71,16.03693077331114,13.695430513452044,0.7464788732394366
home shed,PADX,457,14.662879657142659,11.10124121561835,0.5667396061269147
home shed,RPME,333,15.29370466060198,11.720036491860181,0.6066066066066066
home shed,SDAD ,316,15.430456328132768,12.133620895883382,0.6329113924050633
home shed,SGUD,426,15.383791667762853,11.814776150828047,0.6314553990610329
home shed,SPJD ,278,14.848206473691134,11.176150693951648,0.5935251798561151
home shed,SRCE,579,13.174844821794649,9.970733325723469,0.5785837651122625
home shed,TATE,748,14.244381177792585,11.147121694301664,0.6042780748663101
home shed,TKDE,74,12.227613243217872,10.675379004142421,0.6621621621621622
home shed,WATE ,3018,14.462093064648894,11.189633969365493,0.5868124585818423
home shed,<NA>,7687,15.269343101654082,12.034365250430112,0.6179263691947444
wheel profile,-1.0,187,18.474129342977704,15.326082217351257,0.5668449197860963
wheel profile,0.0,4864,14.72760261862667,11.410987801881594,0.5493421052631579
wheel profile,1.0,23014,14.457659834807275,11.225634210937065,0.5932041366124967
interval length,interval Q1,5613,15.026137561952634,11.780919584605765,0.5932656333511491
interval length,interval Q2,5613,14.176883007080104,11.068099456677082,0.588633529306966
interval length,interval Q3,5613,14.635734646723375,11.310982921740901,0.5811508996971316
interval length,interval Q4,5613,14.58819181553344,11.271141357212658,0.5770532691965081
interval length,interval Q5,5613,14.232513423933135,10.994256247463994,0.5870301086762872
turning this interval,0,27758,14.517304558093809,11.267391847246387,0.5855609193745948
turning this interval,1,307,16.067200837700426,12.884380708915906,0.5732899022801303
RTIS coverage %,coverage Q1,5613,13.487540326970178,10.435925613265006,0.6474256190985213
RTIS coverage %,coverage Q2,5613,13.195560080775646,10.398330825684896,0.6362016746837699
RTIS coverage %,coverage Q3,5613,14.230445814064197,10.827409869442418,0.6116158916800285
RTIS coverage %,coverage Q4,5613,15.865020450852251,12.402888104959349,0.5221806520577231
RTIS coverage %,coverage Q5,5613,15.687967280553243,12.360845154348732,0.5097096027079993
interval end year,2023,62,17.537941749727967,15.311865440372307,0.6774193548387096
interval end year,2024,622,18.558733316891637,15.013614777599907,0.639871382636656
interval end year,2025,11171,16.790050277457162,13.280474052710936,0.4878703786590278
interval end year,2026,16191,12.521584529429704,9.742411823597912,0.6504230745475882
exposure_v2 available,exposure_v2 absent,13097,13.349502465367388,10.444763273854964,0.6480109948843247
exposure_v2 available,exposure_v2 present,14968,15.498368766369936,12.020356973264558,0.5306654195617317
