operational_exposure_id,y_true,y_pred,residual,next_interval_end_timestamp,home_shed,wheel_profile_2class,turning_indicator_raw,days_since_turning,interval_days,rtis_reporting_coverage_pct,interval_distance_km,running_hours_proxy,wear_per_1000km_s1,exposure_index_s1,next_interval_turning_flag
OE-545347-610312,-11.0,45.72050530437886,-56.72050530437886,2024-11-26,,1.0,0,222.0,84.0,52.38095238095239,24684.28,,0.040511613058999495,13.819432112676052,0
OE-648929-640663,-21.0,35.26016069125652,-56.26016069125652,2025-01-28,,1.0,0,315.0,1.0,0.0,,,,,0
OE-1106192-1199943,-16.8599999999999,38.92423778945711,-55.78423778945701,2026-06-04,GZBE ,1.0,0,315.0,93.0,0.0,,386.16666666666663,,,0
OE-982461-1199815,-52.99000000000001,1.547282290972168,-54.53728229097218,2026-06-04,ETE,1.0,0,315.0,233.0,36.48068669527897,44471.71999999997,2161.133333333333,0.0,,0
OE-982459-1199813,-53.49000000000001,0.7239620919785,-54.21396209197851,2026-06-04,ETE,1.0,0,315.0,233.0,36.48068669527897,44471.71999999997,2161.133333333333,0.0,,0
OE-982460-1199814,-52.680000000000064,1.483260870093286,-54.16326087009335,2026-06-04,ETE,1.0,0,315.0,233.0,36.48068669527897,44471.71999999997,2161.133333333333,0.0,,0
OE-757778-829023,-73.0,-18.911378249449523,-54.08862175055047,2025-11-15,BNDL,0.0,0,315.0,67.0,85.07462686567165,30384.99,,0.0,,0
OE-715385-726993,-72.23000000000002,-18.193185626913422,-54.0368143730866,2025-08-23,,1.0,0,315.0,53.0,0.0,,,,,0
OE-564295-602113,-25.13000000000011,28.87910948128722,-54.009109481287325,2025-01-03,,0.0,0,315.0,56.0,94.64285714285714,36319.18999999997,,0.0,,0
OE-1166029-1201697,-62.539999999999964,-8.676097917452529,-53.86390208254743,2026-06-04,GZBE ,0.0,0,315.0,35.0,0.0,,479.98333333333335,,,0
OE-515782-595173,-45.5,8.239715501544154,-53.739715501544154,2024-11-16,,1.0,0,315.0,106.0,66.0377358490566,38334.630000000005,,0.026086074131927185,,0
OE-741534-741528,-64.94000000000005,-11.413720265244596,-53.52627973475546,2025-03-06,,1.0,0,315.0,90.0,67.77777777777779,46285.130000000005,,0.0,,0
OE-140963-287132,-21.870000000000005,31.644160308819796,-53.5141603088198,2024-11-16,,-1.0,0,315.0,190.0,54.736842105263165,82713.87,,0.3030930604504412,,0
OE-716356-715258,-38.0,15.276772386035507,-53.2767723860355,2025-08-15,AQE  ,1.0,0,315.0,1.0,100.0,1.0399999999790452,,,,0
OE-741533-741527,-64.75,-11.547132709349544,-53.20286729065046,2025-03-06,,1.0,0,315.0,90.0,67.77777777777779,46285.130000000005,,0.0,,0
OE-892872-896925,-54.549999999999955,-1.3721676081874739,-53.17783239181248,2025-10-01,BZAE,0.0,0,315.0,5.0,100.0,4960.630000000005,,0.0,,0
OE-715382-726990,-72.5,-19.33939271536814,-53.16060728463186,2025-08-23,,1.0,0,315.0,53.0,0.0,,,,,0
OE-418049-485878,-58.0,-4.86303759560734,-53.13696240439266,2025-03-11,,1.0,0,248.0,95.0,83.15789473684211,51616.380000000005,,0.038747389878949275,108.96379257142858,0
OE-1166030-1201698,-60.63000000000011,-7.50580364825653,-53.12419635174358,2026-06-04,GZBE ,0.0,0,315.0,35.0,0.0,,479.98333333333335,,,0
OE-738552-830459,-2.8999999999999773,50.224076605807475,-53.12407660580745,2025-11-15,KJMD,1.0,0,315.0,81.0,95.06172839506173,43858.41,,0.38761095078458413,,0
OE-715380-726988,-72.41000000000008,-19.3018640930996,-53.108135906900486,2025-08-23,,1.0,0,315.0,53.0,0.0,,,,,0
OE-695530-702465,-8.0,44.95599564642925,-52.95599564642925,2025-07-28,WATE ,1.0,0,315.0,8.0,87.5,4779.420000000013,,0.0,,0
OE-877120-907019,-67.0,-14.055634599342472,-52.94436540065753,2025-08-26,SGUD,1.0,0,315.0,29.0,100.0,5758.2300000000005,,0.0,,0
OE-982463-1199817,-47.66000000000008,5.147287467650473,-52.80728746765055,2026-06-04,ETE,1.0,0,315.0,233.0,36.48068669527897,44471.71999999997,2161.133333333333,0.0,,0
OE-720935-726384,-61.0,-8.22581748213339,-52.774182517866606,2025-08-23,,1.0,0,315.0,5.0,40.0,2.0599999999976717,,,,0
OE-1144384-1201944,-71.0,-18.277265331837057,-52.72273466816294,2026-06-04,,1.0,0,315.0,56.0,0.0,,0.0,,,0
OE-1132024-1202004,-68.91000000000008,-16.202292737604004,-52.70770726239608,2026-06-04,,1.0,0,315.0,66.0,0.0,,0.0,,,0
OE-605218-606300,-44.0,8.340744502583986,-52.34074450258399,2025-01-03,,1.0,0,315.0,1.0,0.0,,,,,0
OE-660015-668828,-69.0,-16.662117840044687,-52.33788215995531,2025-08-23,,1.0,0,315.0,8.0,0.0,,,,,0
OE-720932-726381,-58.0,-5.769496476025399,-52.230503523974605,2025-08-23,,1.0,0,315.0,5.0,40.0,2.0599999999976717,,,,0
OE-909036-1085332,-35.0,17.12791772583793,-52.12791772583793,2026-02-23,GMOE ,1.0,0,315.0,164.0,76.82926829268293,65978.83999999997,845.2166666666667,0.0,,0
OE-982464-1199818,-47.16000000000008,4.859659727092636,-52.019659727092716,2026-06-04,ETE,1.0,0,315.0,233.0,36.48068669527897,44471.71999999997,2161.133333333333,0.0,,0
OE-660020-668833,-68.0,-16.08503017358726,-51.914969826412744,2025-08-23,,1.0,0,315.0,8.0,0.0,,,,,0
OE-757776-829021,-73.09999999999991,-21.209265178888863,-51.890734821111046,2025-11-15,BNDL,0.0,0,315.0,67.0,85.07462686567165,30384.99,,0.0,,0
OE-664525-653245,-65.0,-13.11711188803012,-51.882888111969876,2025-03-06,,0.0,0,315.0,7.0,0.0,,,,,0
OE-1132023-1202003,-68.93000000000006,-17.105253209514398,-51.82474679048566,2026-06-04,,1.0,0,315.0,66.0,0.0,,0.0,,,0
OE-701097-727201,-67.0,-15.315488088472346,-51.68451191152765,2025-08-23,,1.0,0,315.0,90.0,15.555555555555555,7273.479999999981,,0.1374857702227823,,0
OE-701098-727202,-67.0,-15.315488088472346,-51.68451191152765,2025-08-23,,1.0,0,315.0,90.0,15.555555555555555,7273.479999999981,,0.1374857702227823,,0
OE-994892-1052330,-41.16999999999996,10.502786425683025,-51.672786425682986,2026-01-07,SPJD ,1.0,0,315.0,54.0,90.74074074074075,33296.53999999998,419.75,0.0,,0
OE-652332-653747,-62.0,-10.375274730202925,-51.624725269797075,2025-03-06,,1.0,0,315.0,6.0,66.66666666666666,1073.259999999951,,0.9317406779345597,,0
OE-503058-589590,-7.0,44.56706660840117,-51.56706660840117,2024-11-26,,1.0,0,315.0,114.0,77.19298245614034,55300.139999999985,,0.41591214778118113,,0
OE-950968-983481,-67.99000000000001,-16.455042918687017,-51.534957081312996,2025-12-08,BRCE,1.0,0,315.0,30.0,100.0,20820.98999999999,,0.0,,0
OE-652335-653750,-63.0,-11.516610067293843,-51.48338993270616,2025-03-06,,1.0,0,315.0,6.0,66.66666666666666,1073.259999999951,,0.0,,0
OE-530085-608843,-64.90000000000009,-13.423201501658024,-51.47679849834206,2025-03-21,,1.0,0,315.0,88.0,88.63636363636364,57816.51999999999,,0.01902570407212176,,0
OE-880618-885386,-68.91999999999996,-17.53073766537393,-51.389262334626025,2025-10-24,,0.0,0,315.0,5.0,100.0,4297.689999999999,,0.0,,0
OE-836250-861146,-70.54000000000008,-19.16099381025207,-51.37900618974801,2025-08-04,,0.0,0,315.0,21.0,0.0,,,,,0
