experiment,task,label,model,phase,split,rmse,mae,mape,r2,spearman,n,pr_auc,roc_auc,f1_at_best,best_threshold,precision_at_k,brier,ece,positive_rate,c_index
experiment_0029,binary,next_interval_large_loss_flag,dummy_majority,3A,test,,,,,,28066,0.7154,0.5,,1.0,0.7154,0.2846,0.2846,0.7154,
experiment_0025,binary,next_interval_large_loss_flag,dummy_majority,3A,val,,,,,,29743,0.6314,0.5,,1.0,0.6314,0.3686,0.3686,0.6314,
experiment_0030,binary,next_interval_large_loss_flag,dummy_prior,3A,test,,,,,,28066,0.7154,0.5,,0.5935206469659623,0.7154,0.2185,0.1219,0.7154,
experiment_0026,binary,next_interval_large_loss_flag,dummy_prior,3A,val,,,,,,29743,0.6314,0.5,,0.5935206469659623,0.6314,0.2342,0.0379,0.6314,
experiment_0032,binary,next_interval_large_loss_flag,hist_gradient_boosting,3B,test,,,,,,28066,0.8446,0.7014,0.7152,0.6292,0.917,0.1911,0.092,0.7154,
experiment_0028,binary,next_interval_large_loss_flag,hist_gradient_boosting,3B,val,,,,,,29743,0.785,0.6953,0.6938,0.609,0.886,0.2088,0.0322,0.6314,
experiment_0031,binary,next_interval_large_loss_flag,logistic,3B,test,,,,,,28066,0.768,0.5891,0.6072,0.6094,0.81,0.2126,0.1173,0.7154,
experiment_0027,binary,next_interval_large_loss_flag,logistic,3B,val,,,,,,29743,0.7145,0.6197,0.6785,0.5823,0.767,0.2251,0.0426,0.6314,
experiment_0021,binary,next_interval_turning_flag,dummy_majority,3A,test,,,,,,28066,0.0111,0.5,,0.0,0.0111,0.0111,0.0111,0.0111,
experiment_0017,binary,next_interval_turning_flag,dummy_majority,3A,val,,,,,,29743,0.0132,0.5,,0.0,0.0132,0.0132,0.0132,0.0132,
experiment_0022,binary,next_interval_turning_flag,dummy_prior,3A,test,,,,,,28066,0.0111,0.5,,0.01095355471238264,0.0111,0.011,0.0001,0.0111,
experiment_0018,binary,next_interval_turning_flag,dummy_prior,3A,val,,,,,,29743,0.0132,0.5,,0.01095355471238264,0.0132,0.0131,0.0023,0.0132,
experiment_0024,binary,next_interval_turning_flag,hist_gradient_boosting,3B,test,,,,,,28066,0.0127,0.5566,0.0264,0.0041,0.0105,0.0119,0.0031,0.0111,
experiment_0020,binary,next_interval_turning_flag,hist_gradient_boosting,3B,val,,,,,,29743,0.0284,0.6728,0.0433,0.0091,0.0375,0.0137,0.0046,0.0132,
experiment_0023,binary,next_interval_turning_flag,logistic,3B,test,,,,,,28066,0.0117,0.5211,0.0241,0.0117,0.011,0.0111,0.0049,0.0111,
experiment_0019,binary,next_interval_turning_flag,logistic,3B,val,,,,,,29743,0.0176,0.5811,0.0384,0.0197,0.0265,0.0131,0.0022,0.0132,
experiment_0016,regression,next_interval_dia_delta_mm,dummy_mean,3A,test,24.4432,18.7391,,-0.2159,,28066,,,,,,,,,
experiment_0011,regression,next_interval_dia_delta_mm,dummy_mean,3A,val,28.2245,18.6804,,-0.049,,29743,,,,,,,,,
experiment_0017,regression,next_interval_dia_delta_mm,dummy_median,3A,test,24.3961,18.6858,,-0.2112,,28066,,,,,,,,,
experiment_0012,regression,next_interval_dia_delta_mm,dummy_median,3A,val,28.2004,18.6541,,-0.0472,,29743,,,,,,,,,
experiment_0019,regression,next_interval_dia_delta_mm,elastic_net,3B,test,23.6861,18.1556,,-0.1417,0.17997606445995998,28066,,,,,,,,,
experiment_0014,regression,next_interval_dia_delta_mm,elastic_net,3B,val,27.5812,18.2551,,-0.0018,0.2161818502534994,29743,,,,,,,,,
experiment_0020,regression,next_interval_dia_delta_mm,hist_gradient_boosting,3B,test,23.1034,16.5387,,-0.0862,0.3529713762994204,28066,,,,,,,,,
experiment_0015,regression,next_interval_dia_delta_mm,hist_gradient_boosting,3B,val,26.3115,17.2611,,0.0884,0.36039384992711654,29743,,,,,,,,,
experiment_0018,regression,next_interval_dia_delta_mm,linear,3B,test,22.8811,17.5372,,-0.0654,0.15463123638934595,28066,,,,,,,,,
experiment_0013,regression,next_interval_dia_delta_mm,linear,3B,val,27.0223,17.9916,,0.0384,0.1857087511408161,29743,,,,,,,,,
experiment_0007,survival,time_to_next_turning_days,dummy_median_time,3A,test,,,,,,28066,,,,,,,,,0.0
experiment_0005,survival,time_to_next_turning_days,dummy_median_time,3A,val,,,,,,29743,,,,,,,,,0.0
experiment_0008,survival,time_to_next_turning_days,hist_gradient_boosting_observed_only,3B,test,,,,,,28066,,,,,,,,,0.5392
experiment_0006,survival,time_to_next_turning_days,hist_gradient_boosting_observed_only,3B,val,,,,,,29743,,,,,,,,,0.5563
