operational_exposure_id,split_x,y_true,y_prob,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-699075-811191,test,1,0.0004,test,101.0,-2.0,-2.0,92.0792,0,315.0,1.0,37718,BGKD,16.0,66.0,interval Q5,coverage Q4,wear1 Q2,wear2 Q2,0.9996
OE-699077-811193,test,1,0.0004,test,101.0,-1.0,-1.0,92.0792,0,315.0,1.0,37718,BGKD,16.0,66.0,interval Q5,coverage Q4,wear1 Q2,wear2 Q2,0.9996
OE-699078-811194,test,1,0.0004,test,101.0,-2.0,-2.0,92.0792,0,315.0,1.0,37718,BGKD,16.0,66.0,interval Q5,coverage Q4,wear1 Q2,wear2 Q2,0.9996
OE-699080-811196,test,1,0.0005,test,101.0,-2.0,-2.0,92.0792,0,315.0,1.0,37718,BGKD,16.0,66.0,interval Q5,coverage Q4,wear1 Q2,wear2 Q2,0.9995
OE-699079-811195,test,1,0.0006,test,101.0,-2.0,-2.0,92.0792,0,315.0,1.0,37718,BGKD,16.0,66.0,interval Q5,coverage Q4,wear1 Q2,wear2 Q2,0.9994
OE-786406-908135,test,1,0.0006,test,106.0,-4.5,-5.5,94.3396,0,315.0,1.0,37412,KYNE ,5.0,20.0,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,0.9994
OE-702830-752234,test,1,0.0008,test,55.0,-0.5,-0.5,0.0,0,315.0,0.0,37827,,,,interval Q4,coverage Q1,wear1 Q2,wear2 Q2,0.9992
OE-786404-908133,test,1,0.001,test,106.0,-6.0,-5.6,94.3396,0,315.0,1.0,37412,KYNE ,5.0,20.0,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,0.999
OE-917640-991977,test,1,0.0011,test,69.0,-1.11,-0.57,0.0,0,315.0,0.0,39520,,,,interval Q4,coverage Q2,wear1 Q2,wear2 Q2,0.9989
OE-795703-849978,test,1,0.0011,test,44.0,0.0,0.0,100.0,0,315.0,1.0,37283,TATE,6.0,21.0,interval Q3,coverage Q5,wear1 Q3,wear2 Q3,0.9989
