operational_exposure_id,split_x,y_true,y_prob,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-918068-935076,test,0,0.9567,test,12.0,0.0,0.0,91.6667,0,315.0,1.0,37825,BNDL,6.0,21.0,interval Q2,coverage Q4,wear1 Q4,wear2 Q4,0.9567
OE-918069-935077,test,0,0.9545,test,12.0,0.0,0.0,91.6667,0,315.0,1.0,37825,BNDL,6.0,21.0,interval Q2,coverage Q4,wear1 Q4,wear2 Q4,0.9545
OE-366047-366053,test,0,0.9388,test,34.0,0.0,0.0,50.0,0,315.0,-1.0,37066,,12.0,47.0,interval Q3,coverage Q3,wear1 Q3,wear2 Q3,0.9388
OE-420191-427171,test,0,0.9361,test,10.0,0.0,0.0,60.0,0,83.0,0.0,37066,,12.0,47.0,interval Q2,coverage Q3,wear1 Q3,wear2 Q3,0.9361
OE-1168042-1220201,test,1,0.0855,test,53.0,-20.0,-18.0,0.0,0,315.0,1.0,30780,GMOE ,9.0,37.0,interval Q4,coverage Q1,wear1 Q1,wear2 Q1,0.9145
OE-738552-830459,test,1,0.0894,test,81.0,-17.0,-17.0,95.0617,0,315.0,1.0,39157,KJMD,14.0,59.0,interval Q4,coverage Q4,wear1 Q1,wear2 Q1,0.9106
OE-1168041-1220200,test,1,0.0931,test,53.0,-19.0,-18.0,0.0,0,315.0,1.0,30780,GMOE ,9.0,37.0,interval Q4,coverage Q1,wear1 Q1,wear2 Q1,0.9069
OE-1029853-1034302,test,1,0.0945,test,3.0,-19.1,-18.3,100.0,0,315.0,1.0,39304,KJMD,14.0,57.0,interval Q1,coverage Q5,wear1 Q1,wear2 Q1,0.9055
OE-934537-1019118,test,0,0.8875,test,77.0,0.0,0.0,100.0,0,315.0,0.0,30487,HWHE ,7.0,26.0,interval Q4,coverage Q5,wear1 Q5,wear2 Q5,0.8875
OE-851650-960669,test,0,0.8872,test,79.0,-1.0,-1.0,0.0,0,315.0,1.0,39462,,,,interval Q4,coverage Q2,wear1 Q2,wear2 Q2,0.8872
OE-756876-829515,test,0,0.8829,test,66.0,0.0,0.0,0.0,0,315.0,1.0,39416,,,,interval Q4,coverage Q1,wear1 Q4,wear2 Q4,0.8829
OE-1168043-1220202,test,1,0.1179,test,53.0,-18.0,-16.0,0.0,0,315.0,1.0,30780,GMOE ,9.0,37.0,interval Q4,coverage Q1,wear1 Q1,wear2 Q1,0.8821
OE-1168038-1220197,test,1,0.1185,test,53.0,-14.0,-15.0,0.0,0,315.0,1.0,30780,GMOE ,9.0,37.0,interval Q4,coverage Q1,wear1 Q1,wear2 Q1,0.8815
OE-1122692-1145055,test,1,0.1199,test,21.0,-16.9,-16.5,0.0,1,0.0,1.0,39113,HWHE ,4.0,14.0,interval Q3,coverage Q1,wear1 Q1,wear2 Q1,0.8801
OE-1174178-1187716,test,0,0.8751,test,15.0,0.0,0.0,0.0,0,315.0,1.0,39491,NGCD,,,interval Q2,coverage Q2,wear1 Q5,wear2 Q5,0.8751
OE-899272-1006698,test,1,0.1262,test,101.0,-7.6,-7.9,98.0198,0,315.0,1.0,37649,KJMD,13.0,53.0,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,0.8738
OE-800179-847479,test,0,0.8734,test,40.0,0.0,0.0,0.0,0,315.0,1.0,39423,,,,interval Q3,coverage Q1,wear1 Q4,wear2 Q4,0.8734
OE-739370-851682,test,0,0.8732,test,100.0,-2.0,-2.0,0.0,0,315.0,1.0,39441,,,,interval Q5,coverage Q1,wear1 Q2,wear2 Q2,0.8732
OE-1049244-1058831,test,0,0.8727,test,7.0,-1.05,-1.02,0.0,0,315.0,0.0,37882,SGUD,3.0,11.0,interval Q1,coverage Q2,wear1 Q2,wear2 Q2,0.8727
OE-1219617-1223781,test,1,0.1276,test,4.0,-17.0,-19.0,0.0,0,315.0,1.0,37390,GMOE ,9.0,34.0,interval Q1,coverage Q1,wear1 Q1,wear2 Q1,0.8724
OE-1174176-1187714,test,0,0.8723,test,15.0,0.0,0.0,0.0,0,315.0,1.0,39491,NGCD,,,interval Q2,coverage Q2,wear1 Q5,wear2 Q5,0.8723
OE-1132928-1212006,test,0,0.8719,test,70.0,0.0,0.0,0.0,0,315.0,0.0,39552,,,,interval Q4,coverage Q3,wear1 Q5,wear2 Q5,0.8719
