operational_exposure_id,split_x,y_true,y_pred,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-684472-718273,test,1050.5,109.4469,test,39.0,-1087.5,-66.0,56.4103,0,315.0,1.0,30501,WATE ,5.0,20.0,interval Q3,coverage Q3,wear1 Q1,wear2 Q1,941.0531
OE-1109648-1116065,test,54.0,572.8685,test,8.0,-58.38,-58.23,0.0,0,315.0,1.0,39309,ETE,15.0,62.0,interval Q1,coverage Q1,wear1 Q1,wear2 Q1,518.8685
OE-609453-618817,test,41.0,377.2232,test,4.0,-48.0,-48.0,100.0,0,315.0,1.0,39146,,3.0,11.0,interval Q1,coverage Q4,wear1 Q1,wear2 Q1,336.2232
OE-1109649-1116066,test,52.65,380.1972,test,8.0,-57.84,-57.99,0.0,0,315.0,1.0,39309,ETE,15.0,62.0,interval Q1,coverage Q1,wear1 Q1,wear2 Q1,327.5472
OE-1109650-1116067,test,52.29,377.4195,test,8.0,-57.73,-57.96,0.0,0,315.0,1.0,39309,ETE,15.0,62.0,interval Q1,coverage Q1,wear1 Q1,wear2 Q1,325.1295
OE-1109646-1116063,test,50.38,274.4609,test,8.0,-54.73,-54.65,0.0,0,315.0,1.0,39309,ETE,15.0,62.0,interval Q1,coverage Q1,wear1 Q1,wear2 Q1,224.0809
OE-1109647-1116064,test,50.5,274.4609,test,8.0,-54.83,-54.85,0.0,0,315.0,1.0,39309,ETE,15.0,62.0,interval Q1,coverage Q1,wear1 Q1,wear2 Q1,223.9609
OE-1109645-1116062,test,51.84,274.4609,test,8.0,-56.5,-56.06,0.0,0,315.0,1.0,39309,ETE,15.0,62.0,interval Q1,coverage Q1,wear1 Q1,wear2 Q1,222.6209
OE-1119655-1153424,test,-5.0,-222.0765,test,9.0,-3.0,-3.0,0.0,0,315.0,1.0,39595,,,,interval Q2,coverage Q3,wear1 Q1,wear2 Q1,217.0765
OE-1119652-1153421,test,-15.53,-205.1529,test,9.0,-2.0,-3.0,0.0,0,315.0,1.0,39595,,,,interval Q2,coverage Q3,wear1 Q2,wear2 Q1,189.6229
OE-1119653-1153422,test,-34.5,-222.0765,test,9.0,-3.0,-3.0,0.0,0,315.0,1.0,39595,,,,interval Q2,coverage Q3,wear1 Q1,wear2 Q1,187.5765
OE-609454-618818,test,36.0,217.3772,test,4.0,-49.0,-49.0,100.0,0,315.0,1.0,39146,,3.0,11.0,interval Q1,coverage Q4,wear1 Q1,wear2 Q1,181.3772
OE-609455-618819,test,36.0,214.5996,test,4.0,-49.0,-49.0,100.0,0,315.0,1.0,39146,,3.0,11.0,interval Q1,coverage Q4,wear1 Q1,wear2 Q1,178.5996
OE-1007104-1165332,test,-8.0,-173.0026,test,102.0,-3.0,-3.0,0.0,0,315.0,1.0,37938,,,,interval Q5,coverage Q3,wear1 Q1,wear2 Q1,165.0026
OE-1029334-1022085,test,40.0,204.9609,test,2.0,-41.65,-39.3,100.0,0,315.0,1.0,37533,GMOE ,9.0,34.0,interval Q1,coverage Q5,wear1 Q1,wear2 Q1,164.9609
OE-1119656-1153425,test,-7.0,-171.0493,test,9.0,-3.0,-2.0,0.0,0,315.0,1.0,39595,,,,interval Q2,coverage Q3,wear1 Q1,wear2 Q2,164.0493
