operational_exposure_id,split_x,time_to_event,censored,risk_score,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-917640-991977,test,15.0,0,-606.4164,test,69.0,-1.11,-0.57,0.0,0,315.0,0.0,39520,,,,interval Q4,coverage Q2,wear1 Q2,wear2 Q2,591.4164
OE-702826-752230,test,102.0,0,-675.4256,test,55.0,-0.5,-0.5,0.0,0,315.0,0.0,37827,,,,interval Q4,coverage Q1,wear1 Q2,wear2 Q2,573.4256
OE-760224-867086,test,67.0,0,-632.7783,test,93.0,-2.0,-2.0,0.0,0,315.0,1.0,39454,,11.0,44.0,interval Q5,coverage Q2,wear1 Q2,wear2 Q2,565.7783
OE-702827-752231,test,118.0,0,-683.2393,test,55.0,-0.5,-0.5,0.0,0,315.0,0.0,37827,,,,interval Q4,coverage Q1,wear1 Q2,wear2 Q2,565.2393
OE-702828-752232,test,118.0,0,-678.9608,test,55.0,-0.5,-0.5,0.0,0,315.0,0.0,37827,,,,interval Q4,coverage Q1,wear1 Q2,wear2 Q2,560.9608
OE-702825-752229,test,118.0,0,-675.571,test,55.0,-0.5,-0.5,0.0,0,315.0,0.0,37827,,,,interval Q4,coverage Q1,wear1 Q2,wear2 Q2,557.571
OE-702829-752233,test,102.0,0,-657.6074,test,55.0,-0.5,-0.5,0.0,0,315.0,0.0,37827,,,,interval Q4,coverage Q1,wear1 Q2,wear2 Q2,555.6074
OE-917642-991979,test,15.0,0,-569.3589,test,69.0,-1.08,-0.8,0.0,0,315.0,0.0,39520,,,,interval Q4,coverage Q2,wear1 Q2,wear2 Q2,554.3589
OE-760225-867087,test,67.0,0,-614.534,test,93.0,-1.0,-1.0,0.0,0,315.0,1.0,39454,,11.0,44.0,interval Q5,coverage Q2,wear1 Q2,wear2 Q2,547.534
OE-739001-749456,test,7.0,0,-478.5706,test,8.0,0.0,0.0,0.0,0,97.0,0.0,39410,,,,interval Q1,coverage Q1,wear1 Q4,wear2 Q4,471.5706
OE-792993-794178,test,275.0,0,-717.6231,test,1.0,-1.2,-1.4,0.0,1,0.0,0.0,37859,,,,interval Q1,coverage Q2,wear1 Q2,wear2 Q2,442.6231
OE-842345-843052,test,76.0,0,-510.6076,test,4.0,-1.4,-1.1,75.0,1,0.0,0.0,39481,,,,interval Q1,coverage Q3,wear1 Q2,wear2 Q2,434.6076
OE-842348-843055,test,76.0,0,-499.2705,test,4.0,-1.1,-1.5,75.0,1,0.0,0.0,39481,,,,interval Q1,coverage Q3,wear1 Q2,wear2 Q2,423.2705
OE-702830-752234,test,244.0,0,-656.1038,test,55.0,-0.5,-0.5,0.0,0,315.0,0.0,37827,,,,interval Q4,coverage Q1,wear1 Q2,wear2 Q2,412.1038
OE-842349-843056,test,76.0,0,-484.4815,test,4.0,-0.9,-1.0,75.0,1,0.0,0.0,39481,,,,interval Q1,coverage Q3,wear1 Q2,wear2 Q2,408.4815
OE-842344-843051,test,76.0,0,-483.6983,test,4.0,-0.9,-1.8,75.0,1,0.0,0.0,39481,,,,interval Q1,coverage Q3,wear1 Q2,wear2 Q2,407.6983
OE-864688-913429,test,29.0,0,-435.5401,test,69.0,-2.0,-2.0,0.0,0,315.0,1.0,39463,,,,interval Q4,coverage Q2,wear1 Q2,wear2 Q2,406.5401
OE-805939-805945,test,222.0,0,-626.514,test,3.0,-1.0,0.0,100.0,0,315.0,-1.0,30651,LDHE ,10.0,43.0,interval Q1,coverage Q5,wear1 Q2,wear2 Q4,404.514
