experiment,task,label,model,feature_set,split,rmse,mae,mape,r2,spearman,n,pr_auc,roc_auc,f1_at_best,best_threshold,precision_at_k,brier,ece,positive_rate,c_index
experiment_0013,binary,next_interval_large_loss_flag,dummy_prior,v1.0,test,,,,,,28066,0.7154,0.5,,0.5935206469659623,0.7154,0.2185,0.1219,0.7154,
experiment_0009,binary,next_interval_large_loss_flag,dummy_prior,v1.0,val,,,,,,29743,0.6314,0.5,,0.5935206469659623,0.6314,0.2342,0.0379,0.6314,
experiment_0015,binary,next_interval_large_loss_flag,hist_gradient_boosting,v1.0,test,,,,,,28066,0.8446,0.7014,0.7152,0.6292,0.917,0.1911,0.092,0.7154,
experiment_0011,binary,next_interval_large_loss_flag,hist_gradient_boosting,v1.0,val,,,,,,29743,0.785,0.6953,0.6938,0.609,0.886,0.2088,0.0322,0.6314,
experiment_0014,binary,next_interval_large_loss_flag,logistic,v1.0,test,,,,,,28066,0.768,0.5891,0.6072,0.6094,0.81,0.2126,0.1173,0.7154,
experiment_0010,binary,next_interval_large_loss_flag,logistic,v1.0,val,,,,,,29743,0.7145,0.6197,0.6785,0.5823,0.767,0.2251,0.0426,0.6314,
experiment_0016,binary,next_interval_large_loss_flag,random_forest,v1.0,test,,,,,,28066,0.8527,0.7179,0.7143,0.6163,0.9165,0.1931,0.1049,0.7154,
experiment_0012,binary,next_interval_large_loss_flag,random_forest,v1.0,val,,,,,,29743,0.7883,0.6995,0.7161,0.5944,0.882,0.2113,0.057,0.6314,
experiment_0029,binary,next_interval_large_loss_flag,dummy_prior,v1.1,test,,,,,,28066,0.7154,0.5,,0.5935206469659623,0.7154,0.2185,0.1219,0.7154,
experiment_0025,binary,next_interval_large_loss_flag,dummy_prior,v1.1,val,,,,,,29743,0.6314,0.5,,0.5935206469659623,0.6314,0.2342,0.0379,0.6314,
experiment_0031,binary,next_interval_large_loss_flag,hist_gradient_boosting,v1.1,test,,,,,,28066,0.9266,0.8513,0.837,0.6732,0.9735,0.1339,0.0231,0.7154,
experiment_0027,binary,next_interval_large_loss_flag,hist_gradient_boosting,v1.1,val,,,,,,29743,0.8898,0.8343,0.8014,0.6078,0.9775,0.1571,0.0153,0.6314,
experiment_0030,binary,next_interval_large_loss_flag,logistic,v1.1,test,,,,,,28066,0.9022,0.809,0.8274,0.6181,0.9675,0.1516,0.0581,0.7154,
experiment_0026,binary,next_interval_large_loss_flag,logistic,v1.1,val,,,,,,29743,0.871,0.8078,0.7805,0.623,0.9695,0.1693,0.0247,0.6314,
experiment_0032,binary,next_interval_large_loss_flag,random_forest,v1.1,test,,,,,,28066,0.927,0.8504,0.8376,0.6743,0.974,0.136,0.0396,0.7154,
experiment_0028,binary,next_interval_large_loss_flag,random_forest,v1.1,val,,,,,,29743,0.8881,0.832,0.7855,0.6456,0.9695,0.1601,0.0369,0.6314,
experiment_0005,binary,next_interval_turning_flag,dummy_prior,v1.0,test,,,,,,28066,0.0111,0.5,,0.01095355471238264,0.0111,0.011,0.0001,0.0111,
experiment_0001,binary,next_interval_turning_flag,dummy_prior,v1.0,val,,,,,,29743,0.0132,0.5,,0.01095355471238264,0.0132,0.0131,0.0023,0.0132,
experiment_0007,binary,next_interval_turning_flag,hist_gradient_boosting,v1.0,test,,,,,,28066,0.0127,0.5566,0.0264,0.0041,0.0105,0.0119,0.0031,0.0111,
experiment_0003,binary,next_interval_turning_flag,hist_gradient_boosting,v1.0,val,,,,,,29743,0.0284,0.6728,0.0433,0.0091,0.0375,0.0137,0.0046,0.0132,
experiment_0006,binary,next_interval_turning_flag,logistic,v1.0,test,,,,,,28066,0.0117,0.5211,0.0241,0.0117,0.011,0.0111,0.0049,0.0111,
experiment_0002,binary,next_interval_turning_flag,logistic,v1.0,val,,,,,,29743,0.0176,0.5811,0.0384,0.0197,0.0265,0.0131,0.0022,0.0132,
experiment_0008,binary,next_interval_turning_flag,random_forest,v1.0,test,,,,,,28066,0.0153,0.6109,0.0296,0.0167,0.0155,0.011,0.0076,0.0111,
experiment_0004,binary,next_interval_turning_flag,random_forest,v1.0,val,,,,,,29743,0.0296,0.6756,0.0472,0.0199,0.0385,0.013,0.0039,0.0132,
experiment_0021,binary,next_interval_turning_flag,dummy_prior,v1.1,test,,,,,,28066,0.0111,0.5,,0.01095355471238264,0.0111,0.011,0.0001,0.0111,
