stratum,feature,value,n_test,mae_v1_0,mae_v1_1,mae_change_pct,rmse_v1_0,rmse_v1_1,worst100_share_v1_0,worst100_share_v1_1
home shed,home_shed,GMOE ,623,20.487,10.766,-47.4,26.188,14.004,0.08,0.023
home shed,home_shed,GZBE ,1379,16.627,10.938,-34.2,21.389,13.954,0.02,0.068
home shed,home_shed,KYNE ,835,20.5,11.722,-42.8,26.426,15.381,0.16,0.045
home shed,home_shed,LDHE ,656,15.232,11.682,-23.3,20.052,14.912,0.0,0.023
home shed,home_shed,BLEE,604,14.287,11.387,-20.3,18.563,14.232,0.0,0.045
home shed,home_shed,BRCE,567,16.277,11.937,-26.7,21.437,15.137,0.02,0.045
home shed,home_shed,AQE  ,1697,17.401,11.204,-35.6,22.278,14.264,0.06,0.045
home shed,home_shed,PADX,457,25.639,11.564,-54.9,31.244,14.905,0.36,0.0
home shed,home_shed,LGDE,983,12.093,10.98,-9.2,16.417,13.997,0.0,0.0
home shed,home_shed,BZAE,1310,15.365,11.517,-25.0,20.026,14.845,0.0,0.114
home shed,home_shed,TATE,748,14.96,11.551,-22.8,19.592,14.612,0.02,0.023
home shed,home_shed,SRCE,579,15.263,10.114,-33.7,20.07,13.165,0.02,0.023
home shed,home_shed,WATE ,3019,16.399,11.581,-29.4,27.33,18.981,0.04,0.205
home shed,home_shed,ETE,263,28.883,14.875,-48.5,56.319,24.995,0.12,0.068
home shed,home_shed,HWHE ,1162,13.883,11.163,-19.6,18.06,14.467,0.02,0.023
home shed,home_shed,CNBE,271,17.247,9.365,-45.7,22.67,11.985,0.04,0.0
home shed,home_shed,EDE,1008,16.586,11.505,-30.6,20.801,14.521,0.0,0.045
home shed,home_shed,BIAE,415,11.896,10.688,-10.2,15.797,13.446,0.0,0.0
home shed,home_shed,RPME,333,13.317,11.785,-11.5,18.928,15.281,0.02,0.045
home shed,home_shed,SPJD ,278,19.534,11.35,-41.9,24.872,15.143,0.0,0.0
home shed,home_shed,BGKD,584,19.233,11.968,-37.8,24.522,18.053,0.0,0.023
home shed,home_shed,SDAD ,316,17.093,12.753,-25.4,22.2,16.036,0.0,0.0
home shed,home_shed,BNDL,579,13.29,11.276,-15.1,17.19,14.554,0.0,0.068
home shed,home_shed,KJMD,895,16.816,11.772,-30.0,21.065,14.842,0.0,0.023
home shed,home_shed,IZNE,182,14.736,10.886,-26.1,19.051,13.676,0.0,0.0
home shed,home_shed,TKDE,74,12.412,12.301,-0.9,17.88,13.283,0.0,0.0
home shed,home_shed,SGUD,426,18.657,11.565,-38.0,24.057,14.655,0.02,0.023
home shed,home_shed,NGCD,71,13.103,14.795,12.9,16.881,17.098,0.0,0.0
wheel profile,wheel_profile_2class,-1.0,187,20.37,17.049,-16.3,25.243,20.222,0.0,0.03
