operational_exposure_id,y_true,y_pred10,y_pred11,error10,error11,home_shed,wheel_profile_2class,interval_days,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning
OE-684472-718273,1050.5,109.447,390.545,941.053,659.955,WATE ,1.0,39.0,56.41,0,315.0
OE-1044765-1060331,9.27,-5.075,293.487,14.345,284.217,ETE,1.0,10.0,30.0,0,315.0
OE-920194-1020305,4.86,0.237,274.912,4.623,270.052,GDDE,1.0,92.0,98.913,0,738.0
OE-696759-807080,-8.98,21.234,236.061,30.214,245.041,BGKD,0.0,103.0,75.728,0,315.0
OE-509793-570342,63.38,-42.861,-63.394,106.241,126.774,,0.0,80.0,71.25,0,315.0
OE-1147046-1241171,-0.3,-3.219,-104.86,2.919,104.56,HWHE ,1.0,92.0,0.0,0,315.0
OE-631549-631537,-10.1,-31.101,-107.747,21.001,97.647,,1.0,43.0,69.767,0,315.0
OE-631551-631539,-10.1,-13.798,-106.147,3.698,96.047,,1.0,43.0,69.767,0,315.0
OE-575050-645509,-31.48,4.8,48.06,36.28,79.54,,1.0,96.0,71.875,0,315.0
OE-849164-877232,19.5,-5.69,-47.511,25.19,67.011,WATE ,1.0,23.0,100.0,0,315.0
OE-982462-1199816,-46.17,2.335,14.744,48.505,60.914,ETE,1.0,233.0,36.481,0,315.0
OE-405921-477613,74.0,17.772,15.431,56.228,58.569,,0.0,104.0,75.0,0,315.0
OE-909036-1085332,-35.0,6.493,22.561,41.493,57.561,GMOE ,1.0,164.0,76.829,0,315.0
OE-605218-606300,-44.0,10.965,12.206,54.965,56.206,,1.0,1.0,0.0,0,315.0
OE-682723-883552,6.48,2.662,-49.65,3.818,56.13,BLEE,1.0,183.0,92.35,0,315.0
OE-648929-640663,-21.0,-0.614,34.815,20.386,55.815,,1.0,1.0,0.0,0,315.0
OE-654464-657119,-57.0,-0.42,-1.502,56.58,55.498,,1.0,1.0,100.0,0,315.0
OE-474845-594519,-67.63,-18.326,-12.256,49.304,55.374,,1.0,160.0,76.25,0,315.0
OE-546831-633048,35.4,-34.976,-18.793,70.376,54.193,,1.0,112.0,87.5,0,315.0
OE-140963-287132,-21.87,19.297,31.636,41.167,53.506,,-1.0,190.0,54.737,0,315.0
OE-545347-610312,-11.0,1.825,42.242,12.825,53.242,,1.0,84.0,52.381,0,222.0
OE-1144384-1201944,-71.0,0.004,-17.798,71.004,53.202,,1.0,56.0,0.0,0,315.0
OE-695531-702466,-8.0,0.989,45.021,8.989,53.021,WATE ,1.0,8.0,87.5,0,315.0
OE-1106192-1199943,-16.86,5.285,35.997,22.145,52.857,GZBE ,1.0,93.0,0.0,0,315.0
OE-886831-1172323,19.66,2.734,72.513,16.926,52.853,BRCE,0.0,257.0,57.198,0,315.0
OE-515782-595173,-45.5,5.099,7.346,50.599,52.846,,1.0,106.0,66.038,0,315.0
