split,operational_exposure_id,interval_end_measurement_id,next_interval_end_measurement_id,next_interval_dia_delta_mm,next_interval_root_delta_mm,home_shed,turning_indicator_raw,next_interval_turning_flag,wheelset_equipment_id,locomotive_number,LocoType,end_dia1,end_dia2,next_dia1,next_dia2
train,OE-8019-8229,8229,46275,1073.0,0.0,,0,0,30913,30252,WAP7,0.0,0.0,1073.0,1073.0
train,OE-1247-1481,1481,2280,1080.0,1.5,,0,0,30924,30280,WAP7,0.0,0.0,1080.0,1082.0
train,OE-1249-1482,1482,2280,1080.0,1.5,,0,0,30926,30280,WAP7,0.0,0.0,1080.0,1082.0
train,OE-1250-1483,1483,2280,1080.0,1.5,,0,0,30927,30280,WAP7,0.0,0.0,1080.0,1082.0
train,OE-1251-1484,1484,2280,1080.0,1.5,,0,0,30928,30280,WAP7,0.0,0.0,1080.0,1082.0
train,OE-1424-1499,1499,2280,1080.0,1.5,,0,0,31016,30291,WAP7,0.0,0.0,1080.0,1082.0
train,OE-8015-8220,8220,46275,1073.0,0.0,,0,0,31046,30252,WAP7,0.0,0.0,1073.0,1073.0
train,OE-8016-8226,8226,46275,1073.0,0.0,,0,0,31047,30249,WAP7,0.0,0.0,1073.0,1073.0
train,OE-8017-8228,8228,46275,1073.0,0.0,,0,0,31048,30252,WAP7,0.0,0.0,1073.0,1073.0
train,OE-8020-8230,8230,46275,1073.0,0.0,,0,0,31051,30252,WAP7,0.0,0.0,1073.0,1073.0
train,OE-1911-2707,2707,8221,-1021.0,0.0,,0,0,31058,30294,WAP7,1021.0,1021.0,0.0,0.0
train,OE-1913-2709,2709,8221,-1020.5,-0.5,,0,0,31060,30294,WAP7,1020.5,1020.5,0.0,0.0
train,OE-1914-2710,2710,8221,-1025.0,0.0,,0,0,31061,30294,WAP7,1025.0,1025.0,0.0,0.0
train,OE-1915-2711,2711,8221,-1023.0,0.0,,0,0,31062,30294,WAP7,1023.0,1023.0,0.0,0.0
train,OE-1789-2642,2642,8221,-1079.0,0.0,,0,0,31124,30208,WAP7,1079.0,1080.0,0.0,0.0
train,OE-1790-2643,2643,8221,-1080.0,-1.0,,0,0,31125,30208,WAP7,1080.0,1080.0,0.0,0.0
train,OE-1791-2644,2644,8221,-1081.0,-3.0,,0,0,31126,30208,WAP7,1081.0,1079.0,0.0,0.0
train,OE-487-936,936,45709,1024.0,3.0,,0,0,31154,30210,WAP7,0.0,0.0,1024.0,1024.0
train,OE-489-938,938,109400,1095.0,0.0,,0,0,31156,30210,WAP7,0.0,0.0,1095.0,1095.0
train,OE-491-937,937,45709,1024.0,3.0,,0,0,31158,30210,WAP7,0.0,0.0,1024.0,1024.0
train,OE-298-2647,2647,8221,-1081.0,-2.5,,0,0,31261,30218,WAP7,1081.0,1081.0,0.0,0.0
train,OE-299-2648,2648,8221,-1081.0,-4.0,,0,0,31262,30218,WAP7,1081.0,1081.0,0.0,0.0
train,OE-300-2649,2649,8221,-1079.0,-3.5,,0,0,31263,30218,WAP7,1079.0,1080.0,0.0,0.0
train,OE-301-2650,2650,8221,-1078.0,-3.0,,0,0,31264,30218,WAP7,1078.0,1078.0,0.0,0.0
train,OE-302-2651,2651,8221,-1079.0,-1.5,,0,0,31265,30218,WAP7,1079.0,1079.0,0.0,0.0
train,OE-1442-2659,2659,8221,-1063.0,-3.0,,0,0,31308,30221,WAP7,1063.0,1064.0,0.0,0.0
train,OE-1444-2661,2661,8221,-1065.0,-5.5,,0,0,31310,30221,WAP7,1065.0,1066.0,0.0,0.0
train,OE-1445-2662,2662,8221,-1073.0,-3.0,,0,0,31311,30221,WAP7,1073.0,1074.0,0.0,0.0
train,OE-1447-2664,2664,8221,-1072.0,-4.0,,0,0,31312,30221,WAP7,1072.0,1072.0,0.0,0.0
train,OE-1446-2663,2663,8221,-1072.0,-5.0,,0,0,31313,30221,WAP7,1072.0,1073.0,0.0,0.0
train,OE-1701-1717,1717,2283,1013.0,4.0,,0,0,31372,30247,WAP7,54.0,1054.0,1067.0,1068.0
