model,removed,n_present,full_rmse,loo_rmse,delta_rmse
lightgbm,behavior,28065,14.4667,14.4391,-0.027599999999999625
lightgbm,geometry,28065,14.4667,14.4635,-0.0031999999999996476
lightgbm,physics,28065,14.4667,14.4394,-0.027300000000000324
lightgbm,maintenance,28065,14.4667,14.7001,0.23340000000000138
lightgbm,operational,28065,14.4667,14.5657,0.0990000000000002
lightgbm,identity_temporal,28065,14.4667,14.4844,0.01770000000000138
lightgbm,exposure_v2,14968,15.4396,15.5128,0.07319999999999993
lightgbm,physics_v2,13450,15.309,15.3037,-0.005300000000000082
linear,behavior,28065,14.9679,14.9661,-0.0017999999999993577
linear,geometry,28065,14.9679,14.9885,0.02059999999999995
linear,physics,28065,14.9679,14.9959,0.02800000000000047
linear,maintenance,28065,14.9679,15.2341,0.26619999999999955
linear,operational,28065,14.9679,15.136,0.16809999999999903
linear,identity_temporal,28065,14.9679,14.9643,-0.0036000000000004917
linear,exposure_v2,14968,15.6779,15.7738,0.09590000000000032
linear,physics_v2,13450,15.5416,15.5395,-0.002100000000000435
