model,step,added,rmse,mae,delta_rmse,cumulative_delta_rmse
lightgbm,1,geometry,14.9084,11.9647,8.695599999999999,-0.44170000000000087
lightgbm,2,exposure_v2,14.5953,11.3438,0.3131000000000004,-0.1286000000000005
lightgbm,3,maintenance,14.5156,11.2267,0.07970000000000077,-0.04889999999999972
lightgbm,4,operational,14.4253,11.1696,0.09029999999999916,0.04139999999999944
lightgbm,5,behavior,14.4173,11.1469,0.008000000000000895,0.04940000000000033
lightgbm,6,identity_temporal,14.4146,11.1491,0.0026999999999990365,0.05209999999999937
lightgbm,7,physics_v2,14.4504,11.1985,-0.035800000000000054,0.016299999999999315
lightgbm,8,physics,14.4753,11.2276,-0.02490000000000059,-0.008600000000001273
linear,1,geometry,15.0234,12.188,8.580599999999999,-0.05550000000000033
linear,2,maintenance,14.8821,11.9473,0.1413000000000011,0.08580000000000076
linear,3,identity_temporal,14.8799,11.9415,0.002200000000000202,0.08800000000000097
linear,4,behavior,14.8804,11.9425,-0.0005000000000006111,0.08750000000000036
linear,5,physics,14.888,11.8964,-0.007600000000000051,0.0799000000000003
linear,6,physics_v2,14.9005,11.9139,-0.01249999999999929,0.06740000000000101
linear,7,operational,14.9295,11.9628,-0.02900000000000169,0.038399999999999324
linear,8,exposure_v2,14.9679,11.9979,-0.038399999999999324,0.0
