model,removed,rmse,mae,delta_rmse,full_rmse
lightgbm,behavior,14.4391,11.1919,-0.027599999999999625,14.4667
lightgbm,geometry,14.4635,11.2016,-0.0031999999999996476,14.4667
lightgbm,physics,14.4394,11.1717,-0.027300000000000324,14.4667
lightgbm,maintenance,14.7001,11.5117,0.23340000000000138,14.4667
lightgbm,operational,14.5657,11.3387,0.0990000000000002,14.4667
lightgbm,identity_temporal,14.4844,11.2302,0.01770000000000138,14.4667
lightgbm,exposure_v2,14.5118,11.3355,0.045099999999999696,14.4667
lightgbm,physics_v2,14.4622,11.192,-0.0045000000000001705,14.4667
linear,behavior,14.9661,11.9956,-0.0017999999999993577,14.9679
linear,geometry,14.9885,12.0165,0.02059999999999995,14.9679
linear,physics,14.9959,12.0745,0.02800000000000047,14.9679
linear,maintenance,15.2341,12.3122,0.26619999999999955,14.9679
linear,operational,15.136,12.1605,0.16809999999999903,14.9679
linear,identity_temporal,14.9643,11.9949,-0.0036000000000004917,14.9679
linear,exposure_v2,14.9295,11.9628,-0.038399999999999324,14.9679
linear,physics_v2,14.9558,11.9818,-0.012100000000000222,14.9679
