n,pos_rate,pos_rate_ci,pr_auc,roc_auc,brier,recall_top_1pct,precision_top_1pct,top_1pct_k,top_1pct_captured,recall_top_5pct,precision_top_5pct,top_5pct_k,top_5pct_captured,recall_top_10pct,precision_top_10pct,top_10pct_k,top_10pct_captured,lift_top_1pct,lift_top_5pct,lift_top_10pct,model,horizon,test_n
48821,0.015136928780647672,"[np.float64(0.0141), np.float64(0.0162)]",0.11,0.866,0.0607,0.1096,0.166,488,81,0.4344,0.1315,2441,321,0.6103,0.0924,4882,451,7.241,28.696,40.318,logistic,30,48821
48821,0.015136928780647672,"[np.float64(0.0141), np.float64(0.0162)]",0.1253,0.8683,0.0347,0.1286,0.1947,488,95,0.3545,0.1073,2441,262,0.6252,0.0946,4882,462,8.493,23.422,41.301,randomforest,30,48821
48821,0.015136928780647672,"[np.float64(0.0141), np.float64(0.0162)]",0.1638,0.8842,0.0139,0.1664,0.252,488,123,0.4817,0.1458,2441,356,0.6834,0.1034,4882,505,10.996,31.825,45.145,xgboost,30,48821
48821,0.015136928780647672,"[np.float64(0.0141), np.float64(0.0162)]",0.1383,0.8626,0.014,0.1556,0.2357,488,115,0.41,0.1241,2441,303,0.6373,0.0965,4882,471,10.281,27.087,42.105,catboost,30,48821
46152,0.03783151326053042,"[np.float64(0.0361), np.float64(0.0396)]",0.2531,0.8512,0.0715,0.1145,0.4329,462,200,0.4066,0.3076,2308,710,0.6363,0.2407,4615,1111,3.028,10.749,16.82,logistic,90,46152
46152,0.03783151326053042,"[np.float64(0.0361), np.float64(0.0396)]",0.2539,0.8569,0.0548,0.1186,0.4481,462,207,0.3333,0.2522,2308,582,0.5825,0.2204,4615,1017,3.134,8.811,15.397,randomforest,90,46152
46152,0.03783151326053042,"[np.float64(0.0361), np.float64(0.0396)]",0.364,0.873,0.0302,0.1558,0.5887,462,272,0.48,0.3631,2308,838,0.6655,0.2518,4615,1162,4.118,12.687,17.592,xgboost,90,46152
46152,0.03783151326053042,"[np.float64(0.0361), np.float64(0.0396)]",0.355,0.8523,0.0302,0.1586,0.5996,462,277,0.4507,0.341,2308,787,0.6552,0.2479,4615,1144,4.194,11.915,17.319,catboost,90,46152
40579,0.09253554794351758,"[np.float64(0.0897), np.float64(0.0954)]",0.4135,0.8381,0.0987,0.061,0.564,406,229,0.2921,0.5407,2029,1097,0.5265,0.4872,4058,1977,0.659,3.157,5.69,logistic,180,40579
40579,0.09253554794351758,"[np.float64(0.0897), np.float64(0.0954)]",0.4315,0.8356,0.085,0.0876,0.8103,406,329,0.2756,0.5101,2029,1035,0.4647,0.43,4058,1745,0.947,2.979,5.022,randomforest,180,40579
40579,0.09253554794351758,"[np.float64(0.0897), np.float64(0.0954)]",0.5423,0.8643,0.0621,0.0961,0.8892,406,361,0.3457,0.6397,2029,1298,0.5718,0.5291,4058,2147,1.039,3.736,6.179,xgboost,180,40579
40579,0.09253554794351758,"[np.float64(0.0897), np.float64(0.0954)]",0.5313,0.8426,0.0614,0.0977,0.9039,406,367,0.3449,0.6382,2029,1295,0.559,0.5172,4058,2099,1.056,3.727,6.041,catboost,180,40579
29369,0.272396063876877,"[np.float64(0.2673), np.float64(0.2775)]",0.7464,0.8552,0.1314,0.0335,0.9116,294,268,0.1701,0.9271,1468,1361,0.324,0.8825,2937,2592,0.123,0.625,1.189,logistic,365,29369
29369,0.272396063876877,"[np.float64(0.2673), np.float64(0.2775)]",0.7107,0.8344,0.1311,0.0351,0.9558,294,281,0.1649,0.8985,1468,1319,0.3093,0.8424,2937,2474,0.129,0.605,1.135,randomforest,365,29369
29369,0.272396063876877,"[np.float64(0.2673), np.float64(0.2775)]",0.7746,0.8698,0.1407,0.0357,0.9728,294,286,0.1727,0.9414,1468,1382,0.3309,0.9013,2937,2647,0.131,0.634,1.215,xgboost,365,29369
29369,0.272396063876877,"[np.float64(0.2673), np.float64(0.2775)]",0.7564,0.8513,0.1402,0.0359,0.9762,294,287,0.1705,0.9292,1468,1364,0.3292,0.8968,2937,2634,0.132,0.626,1.209,catboost,365,29369
